JBCXM__Account__r.Data_ExternalId__c,Name,JBCXM__Date__c,JBCXM__User__c,Page_Visits__c,Page_Views__c,No_of_Report_Run__c,Files_Downloaded__c,Emails_Sent_Count__c,No_of_Campaigns__c,Active_Users__c,DB_Size__c,Leads__c
AAR Corp Hardware Abscoa Division,ACCOUNTLEVEL,-13,User 1,81,28,199,102,191,27,508,506,14193
Abacus Programming Corporation,ACCOUNTLEVEL,-13,User 1,24,15,159,54,225,41,126,9007,10581
Abberley Kooiman,ACCOUNTLEVEL,-13,User 1,27,48,197,68,118,18,174,6817,7814
Abbett Electric Corp,ACCOUNTLEVEL,-13,User 1,8,28,67,96,146,13,153,5454,1109
Abbey Press Inc,ACCOUNTLEVEL,-13,User 1,9,25,111,127,178,14,467,1144,14718
Bachman Information System Inc.,ACCOUNTLEVEL,-13,User 1,90,15,100,12,230,8,587,3919,1985
Back Stage Magazine,ACCOUNTLEVEL,-13,User 1,97,50,154,66,219,3,249,2941,9909
Baker & McKenzie,ACCOUNTLEVEL,-13,User 1,11,48,75,111,124,35,289,4663,9717
Balfour Maclaine International,ACCOUNTLEVEL,-13,User 1,31,39,184,14,144,56,742,4805,14630
Ball & Socket Mfg Co,ACCOUNTLEVEL,-13,User 1,20,27,196,119,172,8,23,9819,4108
Caco-Pacific Corp.,ACCOUNTLEVEL,-13,User 1,42,14,183,144,197,4,77,6254,16378
CADAM Inc.,ACCOUNTLEVEL,-13,User 1,40,43,185,144,147,15,663,1582,10429
Cadbury Beverages Div Cadbury,ACCOUNTLEVEL,-13,User 1,18,43,134,26,164,27,749,946,15906
Cahn Instruments Inc,ACCOUNTLEVEL,-13,User 1,41,27,69,59,103,34,877,4813,12446
Cal-Pac Roofing Inc,ACCOUNTLEVEL,-13,User 1,33,37,170,74,206,39,586,2590,4635
Dai-Ichi Kangyo Bank,ACCOUNTLEVEL,-13,User 1,70,14,193,150,245,38,360,8161,13969
Daisy of California,ACCOUNTLEVEL,-13,User 1,39,21,122,0,163,11,141,3566,16515
Daley Business Forms,ACCOUNTLEVEL,-13,User 1,94,30,171,75,197,16,419,6298,972
Dame Belts & Bag Co Inc,ACCOUNTLEVEL,-13,User 1,61,32,193,90,105,29,802,8160,7674
Dana Marketing Inc,ACCOUNTLEVEL,-13,User 1,64,10,195,99,204,36,875,211,3015
East Bay Brass Foundry,ACCOUNTLEVEL,-13,User 1,67,41,151,27,166,32,30,3400,15732
East Coast Traders,ACCOUNTLEVEL,-13,User 1,68,25,147,33,187,60,712,4550,12200
East/West Computers Inc,ACCOUNTLEVEL,-13,User 1,88,23,78,62,114,22,180,1276,11769
Eastern Municipal Water Distri,ACCOUNTLEVEL,-13,User 1,50,45,173,141,134,2,418,6024,3052
Eastman Kodak Company Health Sciences Division,ACCOUNTLEVEL,-13,User 1,26,46,79,41,210,53,15,7082,937
Facts on File Newsletter,ACCOUNTLEVEL,-13,User 1,12,50,67,145,185,39,421,3414,6975
Family Magazine,ACCOUNTLEVEL,-13,User 1,45,15,190,39,165,20,67,2574,10822
Fedder RP Corp,ACCOUNTLEVEL,-13,User 1,60,39,167,123,141,19,132,1063,12833
Fell David H & Company Inc,ACCOUNTLEVEL,-13,User 1,54,38,54,96,166,57,39,363,11380
Ferrara Foods & Confections,ACCOUNTLEVEL,-13,User 1,48,23,155,133,107,28,310,3698,17154
G Group,ACCOUNTLEVEL,-13,User 1,57,41,51,60,137,48,812,8038,2381
G-L Veneer Co Inc.,ACCOUNTLEVEL,-13,User 1,50,29,188,0,163,45,452,2181,5143
Galbreath Co,ACCOUNTLEVEL,-13,User 1,43,45,127,78,147,54,207,7932,7651
Gallo Ernst & Julio Winery,ACCOUNTLEVEL,-13,User 1,48,13,173,73,233,29,845,5134,5297
Gamblers Anonymous,ACCOUNTLEVEL,-13,User 1,76,43,100,136,150,56,504,6738,13049
Halcyon Assoc,ACCOUNTLEVEL,-13,User 1,42,19,101,127,194,39,859,9438,14785
Hambro International Venture F,ACCOUNTLEVEL,-13,User 1,71,36,87,115,235,3,154,3268,10291
Hardy James G & Co,ACCOUNTLEVEL,-13,User 1,55,19,199,20,197,11,82,5484,17373
Harkavy Information Service,ACCOUNTLEVEL,-13,User 1,18,40,180,84,118,24,526,4942,15564
Harken Marketing Co,ACCOUNTLEVEL,-13,User 1,39,41,93,124,243,24,686,2994,9972
IBIS Systems Inc.,ACCOUNTLEVEL,-13,User 1,38,21,76,122,196,36,108,7693,15745
IBK Capital Inc,ACCOUNTLEVEL,-13,User 1,96,13,198,27,245,34,94,925,11039
IBM Corp Data Systems Div,ACCOUNTLEVEL,-13,User 1,25,20,77,114,149,26,656,5221,3796
ICM Corp,ACCOUNTLEVEL,-13,User 1,28,16,189,0,137,50,511,7934,4562
ImageTek Corp,ACCOUNTLEVEL,-13,User 1,72,24,181,2,104,49,110,7304,4032
Jadow B & Sons Inc,ACCOUNTLEVEL,-13,User 1,74,34,59,55,245,27,71,6861,14754
Jaff Brothers Woodworks Inc,ACCOUNTLEVEL,-13,User 1,47,23,112,2,125,34,994,9135,4425
Jandel Scientific Inc.,ACCOUNTLEVEL,-13,User 1,35,25,113,18,241,49,380,7781,4196
Japanese American Citizens Lea,ACCOUNTLEVEL,-13,User 1,62,26,70,125,138,16,583,1426,7537
K & S Contractors Supply Co,ACCOUNTLEVEL,-13,User 1,61,15,66,137,249,49,916,3404,6558
Kahlert Assoc Inc,ACCOUNTLEVEL,-13,User 1,39,11,175,120,133,52,373,5778,6381
Kaiser Steel Resources Inc,ACCOUNTLEVEL,-13,User 1,96,46,183,32,184,48,973,7270,5870
Karabelas Furs Inc,ACCOUNTLEVEL,-13,User 1,5,50,193,97,166,12,582,1736,1955
Karpen & Steel Products Inc,ACCOUNTLEVEL,-13,User 1,12,37,88,97,205,10,885,3692,4946
La Costa Hotel & Spa,ACCOUNTLEVEL,-13,User 1,43,27,130,53,184,38,569,4143,19218
Lafferty RF & Co Inc,ACCOUNTLEVEL,-13,User 1,4,30,63,131,149,53,431,6039,17487
Lake County,ACCOUNTLEVEL,-13,User 1,62,26,195,124,203,5,788,971,11672
Lakeland Village,ACCOUNTLEVEL,-13,User 1,87,35,139,76,237,16,834,8785,2733
Lexidata Corporation,ACCOUNTLEVEL,-13,User 1,46,35,134,46,210,4,557,2317,6149
Madonna Construction Co,ACCOUNTLEVEL,-13,User 1,65,50,168,124,218,23,195,9024,16354
Magma Power Co,ACCOUNTLEVEL,-13,User 1,46,37,188,18,128,13,853,6916,7067
Magna Mill Products,ACCOUNTLEVEL,-13,User 1,41,23,72,94,134,47,592,6964,18134
Majestic Entertainment,ACCOUNTLEVEL,-13,User 1,88,11,128,86,216,51,795,6009,113
Mall Side Sports,ACCOUNTLEVEL,-13,User 1,85,42,61,33,198,9,266,8424,16933
N/S Corp,ACCOUNTLEVEL,-13,User 1,57,11,98,112,194,8,578,3247,10593
Nardon Mfg Company Incorporated,ACCOUNTLEVEL,-13,User 1,53,14,191,127,156,12,588,4358,5376
Nash Direct,ACCOUNTLEVEL,-13,User 1,64,22,169,59,186,50,272,3562,17535
National Assn of Printing Ink,ACCOUNTLEVEL,-13,User 1,98,38,109,77,226,9,23,2384,19675
Nixdorf Computer,ACCOUNTLEVEL,-13,User 1,44,36,181,72,155,45,159,6109,3265
O-Cel-O Div General Mills Inc.,ACCOUNTLEVEL,-13,User 1,35,16,140,145,207,17,229,1755,15216
Oakland Carbide Engineering &,ACCOUNTLEVEL,-13,User 1,72,10,162,144,198,35,603,5781,2629
Ocean Sports,ACCOUNTLEVEL,-13,User 1,63,40,164,116,200,25,409,6181,10455
Ocean Sports Wear,ACCOUNTLEVEL,-13,User 1,51,40,81,132,192,21,160,9987,3666
OKeeffes Inc,ACCOUNTLEVEL,-13,User 1,12,27,81,92,154,4,512,9530,7487
P & C Food Markets Inc,ACCOUNTLEVEL,-13,User 1,47,34,156,136,122,25,411,2767,10743
