JBCXM__Account__r.Data_ExternalId__c,Name,JBCXM__Date__c,JBCXM__User__c,Page_Visits__c,Page_Views__c,No_of_Report_Run__c,Files_Downloaded__c,Emails_Sent_Count__c,No_of_Campaigns__c,Active_Users__c,DB_Size__c,Leads__c
Adoption Test - Account 1,USERLEVEL,-27,User 1,30,39,153,87,165,51,953,1883,2112
Adoption Test - Account 2,USERLEVEL,-27,User 1,71,18,142,12,175,19,353,9840,13003
Adoption Test - Account 3,USERLEVEL,-27,User 1,49,40,142,60,168,49,720,4919,7054
Adoption Test - Account 4,USERLEVEL,-27,User 1,6,10,199,93,223,29,431,9144,7782
Adoption Test - Account 5,USERLEVEL,-27,User 1,91,42,63,62,149,56,468,9525,19886
Adoption Test - Account 6,USERLEVEL,-27,User 1,98,18,132,57,221,25,435,2225,4218
Adoption Test - Account 7,USERLEVEL,-27,User 1,24,15,154,106,213,59,490,450,663
Adoption Test - Account 8,USERLEVEL,-27,User 1,98,26,57,37,176,24,355,3884,10932
Adoption Test - Account 9,USERLEVEL,-27,User 1,14,38,57,97,107,19,624,8362,9819
Adoption Test - Account 10,USERLEVEL,-27,User 1,69,33,59,58,200,29,200,1673,5108
Adoption Test - Account 11,USERLEVEL,-27,User 1,86,26,101,117,223,18,212,265,16980
Adoption Test - Account 12,USERLEVEL,-27,User 1,10,50,128,136,234,48,31,3321,12019
Adoption Test - Account 13,USERLEVEL,-27,User 1,91,19,50,24,144,13,102,1933,6274
Adoption Test - Account 14,USERLEVEL,-27,User 1,60,29,166,49,138,41,600,8685,2243
Adoption Test - Account 15,USERLEVEL,-27,User 1,11,12,171,42,242,46,819,9156,12714
Adoption Test - Account 16,USERLEVEL,-27,User 1,3,17,86,66,119,35,365,6313,7783
Adoption Test - Account 17,USERLEVEL,-27,User 1,10,40,116,143,247,7,56,2443,3422
Adoption Test - Account 18,USERLEVEL,-27,User 1,98,42,180,62,179,15,428,9254,8502
Adoption Test - Account 19,USERLEVEL,-27,User 1,53,48,71,28,164,37,825,4682,3684
Adoption Test - Account 20,USERLEVEL,-27,User 1,70,42,95,102,174,10,150,2813,14017
Adoption Test - Account 21,USERLEVEL,-27,User 1,68,31,124,54,177,39,245,3376,14438
Adoption Test - Account 22,USERLEVEL,-27,User 1,58,48,129,44,233,18,791,994,1694
Adoption Test - Account 23,USERLEVEL,-27,User 1,56,49,164,29,221,35,385,2706,7708
Adoption Test - Account 24,USERLEVEL,-27,User 1,73,22,108,147,207,47,639,4619,18932
Adoption Test - Account 25,USERLEVEL,-27,User 1,24,31,166,30,222,15,168,3711,15304
Adoption Test - Account 26,USERLEVEL,-27,User 1,15,14,115,44,124,38,101,8060,2167
