Account,Name,Number Date,Date,InstanceId,InstanceName,Page_Visits__c,Page_Views__c,No_of_Report_Run__c,Files_Downloaded__c
AAM Freudenberg NOK General Partnership,INSTANCELEVEL,-24,10/01/2011,Production,Production,46,0,46,0
Abbett Electric Corp,INSTANCELEVEL,-24,10/01/2011,Production,Production,131623,13933,65034,66589
ABOYTES AGUILAR GABRIEL,INSTANCELEVEL,-24,10/01/2011,Production,Production,10575,3194,7720,2855
ACONDICIONAMIENTOS Y SERVICIOS SA DE CV,INSTANCELEVEL,-24,10/01/2011,Production,Production,7683,127,7128,555
AGENCE PRESSE,INSTANCELEVEL,-24,10/01/2011,Production,Production,51,205,2,49
AGROPECUARIA  A.D.L.T. S.A. DE C.V.,INSTANCELEVEL,-24,10/01/2011,Production,Production,18911,2259,6982,11929
Akzenta Vertriebs GmbH,INSTANCELEVEL,-24,10/01/2011,Production,Production,160000,7211,132085,27915
Alcatel-Lucent Nederland BV,INSTANCELEVEL,-24,10/01/2011,Production,Production,116050,2768,108458,7592
ALIMENTOS CALIDAD OPTIMA SA DE CV,INSTANCELEVEL,-24,10/01/2011,Production,Production,329842,0,329839,3
Alltech Automotive LLC,INSTANCELEVEL,-24,10/01/2011,Production,Production,185251,1945,178014,7237
Alpha Stamping Company,INSTANCELEVEL,-24,10/01/2011,Production,Production,456741,15556,432410,24331
AMECAR AC,INSTANCELEVEL,-24,10/01/2011,Production,Production,0,0,0,0
ANGLO CORP S.A. DE C.V.,INSTANCELEVEL,-24,10/01/2011,Production,Production,5868,1670,330,5538
AP DE MEXICO SA DE CV,INSTANCELEVEL,-24,10/01/2011,Production,Production,51242,5618,32250,18992
ARGO ALMACENADORA SA DE CV,INSTANCELEVEL,-24,10/01/2011,Production,Production,157084,12095,140361,16723
ARTICULOS SELECTOS Y JUEGOS SA DE CV,INSTANCELEVEL,-24,10/01/2011,Production,Production,1572560,183715,1432562,139998
ASOC. LOC. CENTRAL ABAST. VER.,INSTANCELEVEL,-24,10/01/2011,Production,Production,32658,4075,27957,4701
ASOCIACION NACIONAL PRO SUPERACION,INSTANCELEVEL,-24,10/01/2011,Production,Production,24,0,24,0
AUTELIN SA DE CV,INSTANCELEVEL,-24,10/01/2011,Production,Production,242074,46517,17325,224749
AUTOTEC DESARROLLO Y SUMINISTROS SA DE CV,INSTANCELEVEL,-24,10/01/2011,Production,Production,512968,54826,207903,305065
BABILON LANGUAGE COACHING SC,INSTANCELEVEL,-24,10/01/2011,Production,Production,8,0,8,0
Bachman Information System Inc.,INSTANCELEVEL,-24,10/01/2011,Production,Production,136365,0,136365,0
BALEROS BANDAS Y TORNILLOS SA DE CV,INSTANCELEVEL,-24,10/01/2011,Production,Production,15950,2087,7076,8874
BARRERA MORENO FRANCISCO,INSTANCELEVEL,-24,10/01/2011,Production,Production,7631,847,4468,3163
BEBIDAS CRISTAL S.A. DE C.V.,INSTANCELEVEL,-24,10/01/2011,Production,Production,2,0,2,0
BICIMOTOS S.A.,INSTANCELEVEL,-24,10/01/2011,Production,Production,9894,0,9888,6
blah1,INSTANCELEVEL,-24,10/01/2011,Production,Production,54471,0,53913,558
BOESDORFER & BOESDORFER INC,INSTANCELEVEL,-24,10/01/2011,Production,Production,62994,1289,54538,8456
BRINK GRAIN,INSTANCELEVEL,-24,10/01/2011,Production,Production,178025,53580,109262,68763
BUSTOS MELCHOR ROBERTA,INSTANCELEVEL,-24,10/01/2011,Production,Production,34821,1443,28969,5852
CAMACHO CENTENO MERINO,INSTANCELEVEL,-24,10/01/2011,Production,Production,762464,51876,616190,146274
Cape Australia Onshore Pty Ltd,INSTANCELEVEL,-24,10/01/2011,Production,Production,186,508,18,168
CARLOS ALBERTO GOMEZ HUERTA,INSTANCELEVEL,-24,10/01/2011,Production,Production,237113,11524,152432,84681
CARRILLO BELTRAN JUAN MANUEL,INSTANCELEVEL,-24,10/01/2011,Production,Production,96081,10957,23644,72437
CASTILLO ORTIZ MARIO ALBERTO,INSTANCELEVEL,-24,10/01/2011,Production,Production,49180,6498,35271,13909
CENTRAL FLETERA QUERETANA SA DE CV,INSTANCELEVEL,-24,10/01/2011,Production,Production,48898,382,32911,15987
CH ROBINSON COMPANY,INSTANCELEVEL,-24,10/01/2011,Production,Production,205025,23451,70594,134431
CHEP MEXICO S.A. DE C.V.,INSTANCELEVEL,-24,10/01/2011,Production,Production,223,133,213,10
CIL TEXTILES PVT LTD,INSTANCELEVEL,-24,10/01/2011,Production,Production,37262,30,26403,10859
CLEAN DEL PACIFICO SA DE CV,INSTANCELEVEL,-24,10/01/2011,Production,Production,83802,30996,28314,55488
COMARK GRAIN MARKETING,INSTANCELEVEL,-24,10/01/2011,Production,Production,181564,14780,141150,40414
COMERCIALIZADORA DE EQUIPO INDUSTRI,INSTANCELEVEL,-24,10/01/2011,Production,Production,74468,5299,57514,16954
COMERCIALIZADORA RIMATOM SA de CV,INSTANCELEVEL,-24,10/01/2011,Production,Production,636748,198061,47801,588947
COMERGALV SA DE CV,INSTANCELEVEL,-24,10/01/2011,Production,Production,34170,0,34170,0
COMPANIA FERNANDEZ DE MERIDA S.A.,INSTANCELEVEL,-24,10/01/2011,Production,Production,41,6,36,5
CONDUCTORES Y DERIVADOS ROSS SA DE CV,INSTANCELEVEL,-24,10/01/2011,Production,Production,2984,0,2984,0
CONSORCIO EMPRESARIAL ALLEGRO SA DE CV,INSTANCELEVEL,-24,10/01/2011,Production,Production,121829,0,121818,11
CONSTRUCTIO ET STRUCTURA ROMAN SA DE CV,INSTANCELEVEL,-24,10/01/2011,Production,Production,1059529,78348,797954,261575
