ColumnList__c,AccountReference__c,BaseObject__c,Dimensions__c,FilterConditions__c,GraphType__c,IsRB__c,IsShown__c,IsStandard__c,Measures__c,Name,QueryOptions__c,ReportParams__c,ShowDefault__c,UITabName__c,Visibility__c,VisualType__c
"[{""name"":""Fax"",""label"":""Account Fax"",""displayOrder"":1,""visibilityMode"":true,""objectName"":""Account"",""fieldType"":""PHONE"",""isGroupable"":true,""hasJBCXMNS"":false},{""name"":""Name"",""label"":""Account Name"",""displayOrder"":2,""visibilityMode"":true,""objectName"":""Account"",""fieldType"":""STRING"",""isGroupable"":true,""hasJBCXMNS"":false}]",ParentId,Account,,[],,TRUE,TRUE,FALSE,,dddd,,[],FALSE,Account,Public,List
"[{""name"":""Name"",""label"":""Call To Action Name"",""displayOrder"":1,""visibilityMode"":true,""objectName"":""CTA__c"",""fieldType"":""STRING"",""isGroupable"":true,""hasJBCXMNS"":false},{""name"":""CreatedDate__c"",""label"":""Created Date"",""displayOrder"":2,""visibilityMode"":true,""objectName"":""CTA__c"",""fieldType"":""DATE"",""isGroupable"":true,""hasJBCXMNS"":false}]",Account__c,CTA__c,"[{""summerizedBy"":null,""objectName"":""CTA__c"",""name"":""CreatedDate__c"",""label"":""Created Date"",""groupable"":true,""aliasName"":""Cat1"",""fieldType"":""DATE"",""hasJBCXMNS"":false,""stacked"":false}]",[],COLUMN,TRUE,TRUE,FALSE,"[{""objectName"":""CTA__c"",""name"":""Name"",""label"":""Count of Call To Action Name"",""graphType"":null,""aggType"":""COUNT"",""aliasName"":""DS1"",""fieldType"":""STRING"",""hasJBCXMNS"":false}]",abcd,,[],FALSE,CTA,Public,Chart
"[{""name"":""ASV__c"",""label"":""ASV"",""displayOrder"":1,""visibilityMode"":true,""objectName"":""CustomerInfo__c"",""fieldType"":""CURRENCY"",""isGroupable"":false,""hasJBCXMNS"":false},{""name"":""Stage__r.Name"",""label"":""Stage Name"",""displayOrder"":2,""visibilityMode"":true,""objectName"":""CustomerInfo__c"",""fieldType"":""TEXT"",""isGroupable"":true,""hasJBCXMNS"":false}]",Account__c,CustomerInfo__c,"[{""summerizedBy"":null,""objectName"":""CustomerInfo__c"",""name"":""Stage__r.Name"",""label"":""Stage Name"",""groupable"":true,""aliasName"":""Cat1"",""fieldType"":""TEXT"",""stacked"":false}]",[],,FALSE,TRUE,FALSE,"[{""objectName"":""CustomerInfo__c"",""name"":""ASV__c"",""label"":""SUM of ASV"",""graphType"":null,""aggType"":""SUM"",""aliasName"":""DS1"",""fieldType"":""CURRENCY""}]",My first report,,[],FALSE,Customers,Public,Chart
"[{""name"":""Id"",""label"":""Id"",""displayOrder"":1,""visibilityMode"":true,""objectName"":""TransHeader__c"",""fieldType"":""ID"",""isGroupable"":true,""hasJBCXMNS"":false},{""name"":""CSM__r.Name"",""label"":""CSM Name"",""displayOrder"":2,""visibilityMode"":true,""objectName"":""Account"",""fieldType"":""TEXT"",""isGroupable"":true,""hasJBCXMNS"":false},{""name"":""ChurnReason__r.Name"",""label"":""Churn Reason Name"",""displayOrder"":3,""visibilityMode"":true,""objectName"":""TransHeader__c"",""fieldType"":""TEXT"",""isGroupable"":true,""hasJBCXMNS"":false}]",Account__c,TransHeader__c,"[{""summerizedBy"":null,""objectName"":""Account"",""name"":""CSM__r.Name"",""label"":""CSM Name"",""groupable"":true,""aliasName"":""Cat1"",""fieldType"":""TEXT"",""stacked"":false},{""summerizedBy"":null,""objectName"":""TransHeader__c"",""name"":""ChurnReason__r.Name"",""label"":""Churn Reason Name"",""groupable"":true,""aliasName"":""Cat2"",""fieldType"":""TEXT"",""stacked"":false}]","[{""value"":""('a0Ro00000018oEPEAY')"",""objectName"":""TransHeader__c"",""fieldType"":""CUSTOMLOOKUP"",""logicalOperator"":""AND"",""name"":""OrderType__c"",""operator"":""u"",""operatorLabel"":null}]",STACKED-COLUMN,TRUE,TRUE,FALSE,"[{""objectName"":""TransHeader__c"",""name"":""Id"",""label"":""Count of Id"",""graphType"":null,""aggType"":""COUNT"",""aliasName"":""DS1"",""fieldType"":""ID""}]",Churn Transactions by CSM,,[],FALSE,Transactions,Public,Chart
"[{""name"":""Name"",""label"":""Account Name"",""displayOrder"":1,""visibilityMode"":true,""objectName"":""Account"",""fieldType"":""STRING"",""isGroupable"":true,""hasJBCXMNS"":false},{""name"":""AccountNumber"",""label"":""Account Number"",""displayOrder"":2,""visibilityMode"":true,""objectName"":""Account"",""fieldType"":""STRING"",""isGroupable"":true,""hasJBCXMNS"":false},{""name"":""Type"",""label"":""Account Type"",""displayOrder"":3,""visibilityMode"":true,""objectName"":""Account"",""fieldType"":""PICKLIST"",""isGroupable"":true,""hasJBCXMNS"":false}]",,,"[{""summerizedBy"":""CM"",""objectName"":""UsageData__c"",""name"":""Date__c"",""label"":""Date"",""groupable"":true,""aliasName"":""Cat1"",""fieldType"":""DATE"",""stacked"":false},{""summerizedBy"":null,""objectName"":""Account"",""name"":""Name"",""label"":""Account Name"",""groupable"":true,""aliasName"":""Cat2"",""fieldType"":""STRING"",""stacked"":false}]",[],,FALSE,TRUE,FALSE,"[{""objectName"":""UsageData__c"",""name"":""No_of_Report_Run__c"",""label"":""No of Report Run"",""graphType"":""column"",""aggType"":""SUM"",""aliasName"":""DS1"",""fieldType"":""DOUBLE""}]",UsageData1,,[],FALSE,UserAdoption,Public,Chart
"[{""name"":""Name"",""label"":""Account Name"",""displayOrder"":1,""visibilityMode"":true,""objectName"":""Account"",""fieldType"":""STRING"",""isGroupable"":true,""hasJBCXMNS"":false},{""name"":""Date__c"",""label"":""Date"",""displayOrder"":2,""visibilityMode"":true,""objectName"":""Alert__c"",""fieldType"":""DATE"",""isGroupable"":true,""hasJBCXMNS"":false},{""name"":""Id"",""label"":""Id"",""displayOrder"":3,""visibilityMode"":true,""objectName"":""Alert__c"",""fieldType"":""ID"",""isGroupable"":true,""hasJBCXMNS"":false},{""name"":""CSM__r.Name"",""label"":""CSM Name"",""displayOrder"":4,""visibilityMode"":true,""objectName"":""Account"",""fieldType"":""TEXT"",""isGroupable"":true,""hasJBCXMNS"":false}]",Account__c,Alert__c,"[{""summerizedBy"":""CM"",""objectName"":""Alert__c"",""name"":""Date__c"",""label"":""Date"",""groupable"":true,""aliasName"":""Cat1"",""fieldType"":""DATE"",""stacked"":false},{""summerizedBy"":null,""objectName"":""Account"",""name"":""CSM__r.Name"",""label"":""CSM Name"",""groupable"":true,""aliasName"":""Cat2"",""fieldType"":""TEXT"",""stacked"":false}]",[],,TRUE,TRUE,FALSE,"[{""objectName"":""Alert__c"",""name"":""Id"",""label"":""Count of Id"",""graphType"":""LINE"",""aggType"":""COUNT"",""aliasName"":""DS1"",""fieldType"":""ID""}]",Alerts in progress_Pauls Dashboard,,"[{""value"":""('a0Ro00000018oDuEAI','a0Ro00000018oESEAY')"",""objectName"":""Alert__c"",""fieldType"":""CUSTOMLOOKUP"",""fieldName"":""Status__c"",""ctrlType"":""multiselect"",""ctrlData"":""[]"",""operatorsList"":""[{\""key\"":\""\"",\""value\"":\""None\""},{\""key\"":\""u\"",\""value\"":\""includes\""},{\""key\"":\""x\"",\""value\"":\""excludes\""}]"",""selectedOperator"":""u"",""label"":""Status""}]",FALSE,Alerts,Public,Chart
"[{""name"":""Name"",""label"":""Call To Action Name"",""displayOrder"":1,""visibilityMode"":true,""objectName"":""CTA__c"",""fieldType"":""STRING"",""isGroupable"":true,""hasJBCXMNS"":false},{""name"":""Age__c"",""label"":""Age"",""displayOrder"":2,""visibilityMode"":true,""objectName"":""CTA__c"",""fieldType"":""DOUBLE"",""isGroupable"":false,""hasJBCXMNS"":false},{""name"":""Assignee__r.Name"",""label"":""Assignee Name"",""displayOrder"":3,""visibilityMode"":true,""objectName"":""CTA__c"",""fieldType"":""TEXT"",""isGroupable"":true,""hasJBCXMNS"":false},{""name"":""Text_DataType__c"",""label"":""Text_DataType"",""displayOrder"":4,""visibilityMode"":true,""objectName"":""CTA__c"",""fieldType"":""STRING"",""isGroupable"":true,""hasJBCXMNS"":false},{""name"":""URL_DT__c"",""label"":""URL_DT"",""displayOrder"":5,""visibilityMode"":true,""objectName"":""CTA__c"",""fieldType"":""URL"",""isGroupable"":true,""hasJBCXMNS"":false},{""name"":""Email_DT__c"",""label"":""Email_DT"",""displayOrder"":6,""visibilityMode"":true,""objectName"":""CTA__c"",""fieldType"":""EMAIL"",""isGroupable"":true,""hasJBCXMNS"":false},{""name"":""Phone_DT__c"",""label"":""Phone_DT"",""displayOrder"":7,""visibilityMode"":true,""objectName"":""CTA__c"",""fieldType"":""PHONE"",""isGroupable"":true,""hasJBCXMNS"":false}]",Account__c,CTA__c,,[],,TRUE,TRUE,FALSE,,Test_CTA_Report,,"[{""value"":""jvunnam@gainsight.com"",""objectName"":""CTA__c"",""fieldType"":""EMAIL"",""logicalOperator"":""AND"",""fieldName"":""Email_DT__c"",""ctrlType"":""text"",""ctrlData"":""[]"",""operatorsList"":""[{\""key\"":\""\"",\""value\"":\""None\""},{\""key\"":\""e\"",\""value\"":\""equals\""},{\""key\"":\""n\"",\""value\"":\""not equal to\""},{\""key\"":\""l\"",\""value\"":\""less than\""},{\""key\"":\""g\"",\""value\"":\""greater than\""},{\""key\"":\""m\"",\""value\"":\""less or equal\""},{\""key\"":\""h\"",\""value\"":\""greater or equal\""},{\""key\"":\""s\"",\""value\"":\""starts with\""},{\""key\"":\""c\"",\""value\"":\""contains\""},{\""key\"":\""k\"",\""value\"":\""does not contain\""}]"",""selectedOperator"":""m"",""label"":""Email_DT""}]",FALSE,CTA,Public,List
"[{""name"":""Name"",""label"":""Account Name"",""displayOrder"":1,""visibilityMode"":true,""objectName"":""Account"",""fieldType"":""STRING"",""isGroupable"":true,""hasJBCXMNS"":false},{""name"":""AccountNumber"",""label"":""Account Number"",""displayOrder"":2,""visibilityMode"":true,""objectName"":""Account"",""fieldType"":""STRING"",""isGroupable"":true,""hasJBCXMNS"":false}]",,,,"[{""name"":""IsFlagged__c"",""value"":true,""objectName"":""CTA__c"",""fieldType"":""BOOLEAN"",""operator"":""e""}]",,FALSE,TRUE,FALSE,,TestCTAUIView,,"[{""fieldName"":""IsFlagged__c"",""objectName"":""CTA__c"",""ctrlType"":""checkbox"",""ctrlData"":""[]"",""operatorsList"":""[{\""key\"":\""\"",\""value\"":\""None\""},{\""key\"":\""e\"",\""value\"":\""equals\""},{\""key\"":\""n\"",\""value\"":\""not equal to\""}]"",""label"":""IsFlagged"",""fieldType"":""BOOLEAN"",""value"":true,""selectedOperator"":""e"",""logicalOperator"":""""}]",FALSE,CTA,Public,List
"[{""name"":""Name"",""label"":""Account Name"",""displayOrder"":1,""visibilityMode"":true,""objectName"":""Account"",""fieldType"":""STRING"",""isGroupable"":true,""hasJBCXMNS"":false},{""name"":""CreatedDate"",""label"":""Created Date"",""displayOrder"":2,""visibilityMode"":true,""objectName"":""Account"",""fieldType"":""DATETIME"",""isGroupable"":false,""hasJBCXMNS"":false},{""name"":""Industry"",""label"":""Industry"",""displayOrder"":3,""visibilityMode"":true,""objectName"":""Account"",""fieldType"":""PICKLIST"",""isGroupable"":true,""hasJBCXMNS"":false},{""name"":""Name"",""label"":""Call To Action Name"",""displayOrder"":4,""visibilityMode"":true,""objectName"":""CTA__c"",""fieldType"":""STRING"",""isGroupable"":true,""hasJBCXMNS"":false}]",,,,"[{""name"":""CreatedDate"",""value"":""JBcury"",""objectName"":""Account"",""fieldType"":""TIMEFRAMENORMALDATETIME"",""operator"":""h""}]",,TRUE,TRUE,FALSE,,CTA_CreatedDateGTEQCurrentCY,,[],FALSE,CTA,Public,List
"[{""name"":""Name"",""label"":""Call To Action Name"",""displayOrder"":1,""visibilityMode"":true,""objectName"":""CTA__c"",""fieldType"":""STRING"",""isGroupable"":true,""hasJBCXMNS"":false},{""name"":""Assignee__r.Name"",""label"":""Assignee Name"",""displayOrder"":2,""visibilityMode"":true,""objectName"":""CTA__c"",""fieldType"":""TEXT"",""isGroupable"":true,""hasJBCXMNS"":false}]",Account__c,CTA__c,"[{""summerizedBy"":null,""objectName"":""CTA__c"",""name"":""Assignee__r.Name"",""label"":""Assignee Name"",""groupable"":true,""aliasName"":""Cat1"",""fieldType"":""TEXT"",""stacked"":false}]",[],TABLE,TRUE,TRUE,FALSE,"[{""objectName"":""CTA__c"",""name"":""Name"",""label"":""Count of Call To Action Name"",""graphType"":null,""aggType"":""COUNT"",""aliasName"":""DS1"",""fieldType"":""STRING""}]",Test_CTA_Report_610,,[],FALSE,CTA,Public,Chart
