Name,Employees,ActiveUsers__c,AnnualRevenue,Type,AccountSource,Industry,InRegions__c,AccPercentage__c,IsActive__c,InputDate__c,InputDateTime__c,Data_ExternalId__c,AccountNumber
Rule Account 1,1000,,,Prospect,Web,Agriculture,India,,,,,Rule Account 1,RulesAccount
Rule Account 2,1000,,,Customer - Direct,Phone Inquiry,Apparel,America,,,,,Rule Account 2,RulesAccount
Rule Account 3,1000,,,Customer - Channel,Partner Referral,Banking,England,,,,,Rule Account 3,RulesAccount
Rule Account 4,1000,,,Channel Partner / Reseller,Purchased List,Biotechnology,France,,,,,Rule Account 4,RulesAccount
Rule Account 5,1600,,,Installation Partner,Other,Chemicals,Italy,,,,,Rule Account 5,RulesAccount
Rule Account 6,1600,,,Technology Partner,,Communications,Germany,,,,,Rule Account 6,RulesAccount
Rule Account 7,1600,,,Other,,Construction,Japan,,,,,Rule Account 7,RulesAccount
Rule Account 8,1600,,,,,Consulting,China,,,,,Rule Account 8,RulesAccount
Rule Account 9,555,,,,,Education,Australia,,,,,Rule Account 9,RulesAccount
Rule Account 10,555,,,,,Electronics,Russia,,,,,Rule Account 10,RulesAccount
Rule Account 11,555,,,,,Energy,Africa,,,,,Rule Account 11,RulesAccount
Rule Account 12,555,,,,,Engineering,Arab ,,,,,Rule Account 12,RulesAccount
Rule Account 13,300,,,,,Entertainment,,,,,,Rule Account 13,RulesAccount
Rule Account 14,0,,,,,Environmental,,,,,,Rule Account 14,RulesAccount
Rule Account 15,1000,,,,,Finance,,,TRUE,,,Rule Account 15,RulesAccount
Rule Account 16,1000,,,,,Food & Beverage,,,,,,Rule Account 16,RulesAccount
Rule Account 17,1000,2000,,,,Government,,,,,,Rule Account 17,RulesAccount
Rule Account 18,1000,,5000,,,Healthcare,,,,,,Rule Account 18,RulesAccount
Rule Account 19,1600,,,,,Hospitality,,90,,,,Rule Account 19,RulesAccount
Rule Account 20,1600,,,Customer - Direct,Web,Insurance,India;America;Italy,,,,,Rule Account 20,RulesAccount
Rule Account 21,1600,,,Technology Partner,Purchased List,Machinery,Russia,,,,,Rule Account 21,RulesAccount
Rule Account 22,1600,,,,,Manufacturing,,,,0,-1,Rule Account 22,RulesAccount
Rule Account 23,555,,,,,Media,,,,,,Rule Account 23,RulesAccount
Rule Account 24,555,,,,,Not For Profit,,,,,,Rule Account 24,RulesAccount
Rule Account 25,555,,,,,Recreation,,,,,,Rule Account 25,RulesAccount
Rule Account 26,555,,,,,Retail,,,,,,Rule Account 26,RulesAccount
Rule Account 27,300,,,,,Shipping,,,,,,Rule Account 27,RulesAccount
Rule Account 28,0,,,,,Technology,,,,,,Rule Account 28,RulesAccount
Rule Account 29,1000,15,,Customer - Direct,,Telecommunications,India;Germany,,,,,Rule Account 29,RulesAccount
Rule Account 30,1000,,,,,Transportation,,,,,,Rule Account 30,RulesAccount
Rule Account 31,1000,,,,,Utilities,,,,,,Rule Account 31,RulesAccount
Rule Account 32,1000,31,20000,Channel Partner / Reseller,Purchased List,Other,India;Germany,,,,,Rule Account 32,RulesAccount
Rule Account 33,1600,3232,10000,Installation Partner,Partner Referral,Agriculture,India,,,,,Rule Account 33,RulesAccount
Rule Account 34,1600,,,,,,,,,,,Rule Account 34,RulesAccount
Rule Account 35,1600,,,,,,,,,,,Rule Account 35,RulesAccount
Rule Account 36,1600,,,,,,,,,,,Rule Account 36,RulesAccount
Rule Account 37,555,,,,,,,,,,,Rule Account 37,RulesAccount
Rule Account 38,555,,,,,,,,,,,Rule Account 38,RulesAccount
Rule Account 39,555,,,,,,,,,,,Rule Account 39,RulesAccount
Rule Account 40,555,,,,,,,,,,,Rule Account 40,RulesAccount
Rule Account 41,300,,,,,,,,,,,Rule Account 41,RulesAccount
Rule Account 42,0,,,,,,,,,,,Rule Account 42,RulesAccount
Rule Account 43,0,,,,,,,,,,,Rule Account 43,RulesAccount
Rule Account 44,0,,,,,,,,,,,Rule Account 44,RulesAccount
Rule Account 45,0,,,,,,,,,,,Rule Account 45,RulesAccount
Rule Account 46,0,,,,,,,,,,,Rule Account 46,RulesAccount
Rule Account 47,0,,,,,,,,,,,Rule Account 47,RulesAccount
Rule Account 48,0,,,,,,,,,,,Rule Account 48,RulesAccount
Rule Account 49,0,,,,,,,,,,,Rule Account 49,RulesAccount
Rule Account 50,0,,,,,,,,,,,Rule Account 50,RulesAccount
