JBCXM__USERRESPONSECOUNT__C,SURQUES_EXTERNALID__C
50,Customer Retention_Radio1
50,Customer Retention_MultiSelect7
50,Customer Retention_MatrixSingleAnswer2_Radio1
18,Customer Retention_Checkbox5
50,Customer Retention_MatrixMultipleAnswers12
50,Customer Retention_MatrixSingleAnswer2_Radio3
50,Customer Retention_Comment3
50,Customer Retention_Checkbox10
50,Customer Retention_Text9
50,Customer Retention_MatrixSingleAnswer2_Radio6
50,Customer Retention_Ranking11
50,Customer Retention_MatrixSingleAnswer2_Radio2
50,Customer Retention_NPS13
50,Customer Retention_Radio6
50,Customer Retention_MatrixSingleAnswer2_Radio5
50,Customer Retention_MatrixMultipleAnswers12_Checkbox1
50,Customer Retention_MatrixSingleAnswer2_Radio4
50,Customer Retention_Text8
50,Customer Retention_MatrixSingleAnswer2
50,Customer Retention_MatrixMultipleAnswers12_Checkbox2
50,Customer Retention_SingleSelect4
