JBCXM__Account__r.Data_ExternalId__c,JBCXM__ASV__c,JBCXM__Users__c,JBCXM__OriginalContractDate__c,JBCXM__RevenueBand__c,JBCXM__Tag__c,JBCXM__Status__r.JBCXM__SystemName__c,JBCXM__Stage__r.JBCXM__SystemName__c,JBCXM__Comments__c
Survey Rule Account 1,123,544,2014-05-01,Band1,Active,ActiveCustomer,stage1,Account - Survey Rule Account 1 - as a status of ActiveCustomerStage of stage1
Survey Rule Account 2,2342,345,2014-05-01,Band2,Churned,InactiveCustomer,stage2,Account - Survey Rule Account 2 - as a status of InactiveCustomerStage of stage2
Survey Rule Account 3,23,546433,2014-05-01,Band1,Established,ActiveCustomer,stage3,Account - Survey Rule Account 3 - as a status of ActiveCustomerStage of stage3
Survey Rule Account 4,423,345345,2014-05-01,Band2,Inactive,InactiveCustomer,stage4,Account - Survey Rule Account 4 - as a status of InactiveCustomerStage of stage4
Survey Rule Account 5,45,235,2014-05-01,Band1,Onboarding,ActiveCustomer,stage5,Account - Survey Rule Account 5 - as a status of ActiveCustomerStage of stage5
Survey Rule Account 6,45,23,2014-05-01,Band2,Up-sell,InactiveCustomer,stage6,Account - Survey Rule Account 6 - as a status of InactiveCustomerStage of stage6
Survey Rule Account 7,24,453,2014-05-01,Band1,Active,ActiveCustomer,stage1,Account - Survey Rule Account 7 - as a status of ActiveCustomerStage of stage1
Survey Rule Account 8,2,45,2014-05-01,Band2,Churned,InactiveCustomer,stage2,Account - Survey Rule Account 8 - as a status of InactiveCustomerStage of stage2
Survey Rule Account 9,345,3453,2014-05-01,Band1,Established,ActiveCustomer,stage3,Account - Survey Rule Account 9 - as a status of ActiveCustomerStage of stage3
Survey Rule Account 10,2,45242,2014-05-01,Band2,Inactive,InactiveCustomer,stage4,Account - Survey Rule Account 10 - as a status of InactiveCustomerStage of stage4
Survey Rule Account 11,2345,2436234,2014-05-01,Band1,Onboarding,ActiveCustomer,stage5,Account - Survey Rule Account 11 - as a status of ActiveCustomerStage of stage5
Survey Rule Account 12,2435,2345,2014-05-01,Band2,Up-sell,InactiveCustomer,stage6,Account - Survey Rule Account 12 - as a status of InactiveCustomerStage of stage6
Survey Rule Account 13,23452,2435,2014-05-01,Band1,Active,ActiveCustomer,stage1,Account - Survey Rule Account 13 - as a status of ActiveCustomerStage of stage1
Survey Rule Account 14,24,2345,2014-05-01,Band2,Churned,InactiveCustomer,stage2,Account - Survey Rule Account 14 - as a status of InactiveCustomerStage of stage2
Survey Rule Account 15,4524,243,2014-05-01,Band1,Established,ActiveCustomer,stage3,Account - Survey Rule Account 15 - as a status of ActiveCustomerStage of stage3
Survey Rule Account 16,5465,5234,2014-05-01,Band2,Inactive,InactiveCustomer,stage4,Account - Survey Rule Account 16 - as a status of InactiveCustomerStage of stage4
Survey Rule Account 17,65746,5243,2014-05-01,Band1,Onboarding,ActiveCustomer,stage5,Account - Survey Rule Account 17 - as a status of ActiveCustomerStage of stage5
Survey Rule Account 18,684,5234,2014-05-01,Band2,Up-sell,InactiveCustomer,stage6,Account - Survey Rule Account 18 - as a status of InactiveCustomerStage of stage6
Survey Rule Account 19,42345,5243,2014-05-01,Band1,Active,ActiveCustomer,stage1,Account - Survey Rule Account 19 - as a status of ActiveCustomerStage of stage1
Survey Rule Account 20,345245,52463,2014-05-01,Band2,Active,InactiveCustomer,stage2,Account - Survey Rule Account 20 - as a status of InactiveCustomerStage of stage2
