Data_ExternalId__c,NAME,TYPE,WEBSITE,INDUSTRY,ANNUALREVENUE,NUMBEROFEMPLOYEES,DESCRIPTION,JIGSAW
AAR Corp Hardware Abscoa Division,AAR Corp Hardware Abscoa Division,,,Chemicals,,,,AUTO_SAMPLE_DATA
Abacus Programming Corporation,Abacus Programming Corporation,,,Technology,,,,AUTO_SAMPLE_DATA
Abberley Kooiman,Abberley Kooiman,,,Service,,,,AUTO_SAMPLE_DATA
Abbett Electric Corp,Abbett Electric Corp,,,Insurance,,,,AUTO_SAMPLE_DATA
Abbey Press Inc,Abbey Press Inc,,,Service,,,,AUTO_SAMPLE_DATA
Bachman Information System Inc.,Bachman Information System Inc.,Customer - Channel,www.genepoint.com,Biotechnology,3.00E+07,265,Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs,AUTO_SAMPLE_DATA
Back Stage Magazine,Back Stage Magazine,Customer - Direct,http://www.uos.com,Energy,,24000,,AUTO_SAMPLE_DATA
Baker & McKenzie,Baker & McKenzie,Customer - Direct,http://www.uos.com,Energy,,3000,,AUTO_SAMPLE_DATA
Balfour Maclaine International,Balfour Maclaine International,Customer - Direct,http://edgecomm.com,Electronics,1.39E+08,1000,"Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.",AUTO_SAMPLE_DATA
Ball & Socket Mfg Co,Ball & Socket Mfg Co,Customer - Direct,www.burlington.com,Apparel,3.50E+08,9000,,AUTO_SAMPLE_DATA
Caco-Pacific Corp.,Caco-Pacific Corp.,Customer - Channel,www.pyramid.com,Construction,9.50E+08,2680,,AUTO_SAMPLE_DATA
CADAM Inc.,CADAM Inc.,Customer - Channel,dickenson-consulting.com,Consulting,5.00E+07,120,,AUTO_SAMPLE_DATA
Cadbury Beverages Div Cadbury,Cadbury Beverages Div Cadbury,Customer - Direct,www.grandhotels.com,Hospitality,5.00E+08,5600,"Chain of hotels and resorts across the US, UK, Eastern Europe, Japan, and SE Asia.",AUTO_SAMPLE_DATA
Cahn Instruments Inc,Cahn Instruments Inc,Customer - Channel,www.expressl&t.net,Transportation,9.50E+08,12300,Commerical logistics and transportation company.,AUTO_SAMPLE_DATA
Cal-Pac Roofing Inc,Cal-Pac Roofing Inc,Customer - Direct,www.universityofarizona.com,Education,,39000,"Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine.",AUTO_SAMPLE_DATA
Dai-Ichi Kangyo Bank,Dai-Ichi Kangyo Bank,Customer - Direct,http://www.uos.com,Energy,5.60E+09,145000,World's third largest oil and gas company.,AUTO_SAMPLE_DATA
Daisy of California,Daisy of California,,www.sforce.com,,,,,AUTO_SAMPLE_DATA
Daley Business Forms,Daley Business Forms,,,,,,,AUTO_SAMPLE_DATA
Dame Belts & Bag Co Inc,Dame Belts & Bag Co Inc,,,,,,,AUTO_SAMPLE_DATA
Dana Marketing Inc,Dana Marketing Inc,,,,,,"URL: https://login.salesforce.com/
ID: release4b@release.com
PASS: 1234567jbr
SecurityToken: w4WN5yav4EEJPyPInS7nICWm",AUTO_SAMPLE_DATA
