JBCXM__ACCOUNT__r.Data_ExternalId__c,JBCXM__ASV__C,JBCXM__CHURN__r.TransHeader_ExternalId__c,JBCXM__COMMENTS__C,JBCXM__MRR__C,JBCXM__NEXTRENEWALDATE__C,JBCXM__ONETIMEREVENUE__C,JBCXM__ORIGINALCONTRACTDATE__C,JBCXM__STAGE__r.Picklist_ExternalId__c,JBCXM__STATUS__r.Picklist_ExternalId__c,JBCXM__USERS__C
AAR Corp Hardware Abscoa Division,33600,,,2800,2014-04-01,9000,2012-03-05,a0L9000000Ct9wDEAR,a0L9000000Ct9wWEAR,28
Abacus Programming Corporation,102000,,,8500,2014-07-03,27100,2009-07-03,a0L9000000Ct9wDEAR,a0L9000000Ct9wWEAR,70
Abberley Kooiman,44400,,,3700,2014-09-01,5100,2011-06-24,a0L9000000Ct9wDEAR,a0L9000000Ct9wWEAR,0
Abbett Electric Corp,210540,,,17545,2013-05-18,19600,2010-05-18,a0L9000000Ct9wDEAR,a0L9000000Ct9wWEAR,125
Abbey Press Inc,258000,,,21500,2011-09-01,9400,2009-02-12,a0L9000000Ct9wHEAR,a0L9000000Ct9wWEAR,70
Bachman Information System Inc.,30000,,,2500,2014-01-01,15000,2010-01-01,a0L9000000Ct9wHEAR,a0L9000000Ct9wWEAR,50
Back Stage Magazine,0,a0i90000001JPOAAA4,,0,2014-10-01,2800,2012-10-01,a0L9000000Ct9wHEAR,a0L9000000Ct9wNEAR,0
Baker & McKenzie,42000,,,3500,2013-06-13,7500,2011-06-13,a0L9000000Ct9wHEAR,a0L9000000Ct9wWEAR,70
Balfour Maclaine International,218400,,,18200,2011-04-22,6680,2007-11-18,a0L9000000Ct9wKEAR,a0L9000000Ct9wWEAR,60
Ball & Socket Mfg Co,3720,,,310,2012-09-27,1200,2009-09-27,a0L9000000Ct9wKEAR,a0L9000000Ct9wWEAR,25
Caco-Pacific Corp.,14352,,,1196,2013-08-30,0,2011-07-31,a0L9000000Ct9wKEAR,a0L9000000Ct9wWEAR,23
CADAM Inc.,0,,,0,2013-05-30,0,2013-04-09,a0L9000000Ct9wMEAR,a0L9000000Ct9wWEAR,0
Cadbury Beverages Div Cadbury,0,a0i90000001JPRnAAO,,0,2012-12-24,8951,2007-06-12,a0L9000000Ct9wMEAR,a0L9000000Ct9wNEAR,0
Cahn Instruments Inc,3720,,,310,2012-09-27,1200,2009-09-27,a0L9000000Ct9wMEAR,a0L9000000Ct9wWEAR,25
Cal-Pac Roofing Inc,14352,,,1196,2013-08-30,0,2011-07-31,a0L9000000Ct9wMEAR,a0L9000000Ct9wWEAR,23
Dai-Ichi Kangyo Bank,0,,,0,2013-05-09,0,2013-04-09,a0L9000000Ct9wMEAR,a0L9000000Ct9wWEAR,0
Daisy of California,0,a0i90000001JPU3AAO,,0,2012-06-12,8951,2007-06-12,a0L9000000Ct9wUEAR,a0L9000000Ct9wNEAR,0
Daley Business Forms,45600,,,3800,2014-04-27,5400,2012-04-27,a0L9000000Ct9wUEAR,a0L9000000Ct9wWEAR,23
Dame Belts & Bag Co Inc,57600,,,4800,2014-02-28,46800,2012-04-01,a0L9000000Ct9wVEAR,a0L9000000Ct9wWEAR,300
Dana Marketing Inc,0,a0i90000001JPVQAA4,,0,2011-09-27,3700,2009-09-28,a0L9000000Ct9wVEAR,a0L9000000Ct9wNEAR,0
