JBCXM__ACTIVE__C,JBCXM__DISPLAYORDER__C,JBCXM__ORDERTYPE__r.Picklist_ExternalId__c,JBCXM__TRANSACTIONTYPE__r.TransTypes_ExternalId__c
TRUE,1,a0L9000000Ct9wXEAR,a0m90000003DOurAAG
TRUE,2,a0L9000000Ct9wREAR,a0m90000003DOuqAAG
TRUE,3,a0L9000000Ct9wREAR,a0m90000003DOupAAG
TRUE,3,a0L9000000Ct9vyEAB,a0m90000003DOusAAG
TRUE,1,a0L9000000Ct9wREAR,a0m90000003DOurAAG
TRUE,3,a0L9000000Ct9wOEAR,a0m90000003DOusAAG
TRUE,1,a0L9000000Ct9wOEAR,a0m90000003DOurAAG
TRUE,2,a0L9000000Ct9wXEAR,a0m90000003DOuqAAG
TRUE,3,a0L9000000Ct9wXEAR,a0m90000003DOusAAG
TRUE,1,a0L9000000Ct9vyEAB,a0m90000003DOurAAG
TRUE,2,a0L9000000Ct9wOEAR,a0m90000003DOuqAAG
TRUE,3,a0L9000000Ct9wAEAR,a0m90000003DOusAAG
TRUE,2,a0L9000000Ct9wAEAR,a0m90000003DOuqAAG
TRUE,2,a0L9000000Ct9vyEAB,a0m90000003DOuqAAG
TRUE,1,a0L9000000Ct9wAEAR,a0m90000003DOurAAG
TRUE,1,a0L9000000Ct9xIEAR,a0m90000003DOuqAAG
TRUE,2,a0L9000000Ct9xIEAR,a0m90000003DOurAAG
TRUE,3,a0L9000000Ct9xIEAR,a0m90000003DOusAAG
TRUE,1,a0L9000000Ct9xJEAR,a0m90000003DOuqAAG
TRUE,2,a0L9000000Ct9xJEAR,a0m90000003DOurAAG
TRUE,3,a0L9000000Ct9xJEAR,a0m90000003DOusAAG
TRUE,1,a0L9000000Ct9xKEAR,a0m90000003DOuqAAG
TRUE,2,a0L9000000Ct9xKEAR,a0m90000003DOurAAG
TRUE,3,a0L9000000Ct9xKEAR,a0m90000003DOusAAG
