Picklist_ExternalId__c,NAME,JBCXM__ACTIVE__C,JBCXM__ADOPTIONMEASURE__C,JBCXM__ATTRIBUTE1__C,JBCXM__ATTRIBUTE2__C,JBCXM__ATTRIBUTE3__C,JBCXM__ATTRIBUTE4__C,JBCXM__CATEGORY__C,JBCXM__DISPLAYORDER__C,JBCXM__INCLUDEINWIDGET__C,JBCXM__SHORTNAME__C,JBCXM__SYSTEMDEFINED__C,JBCXM__SYSTEMNAME__C,JBCXM__USAGETRACKINGMEASURE__C,JBCXM__MAPTOBOOKINGTYPE__C
a0L9000000Ct9vtEAB,Login,TRUE,FALSE,#7799bf,,,TRUE,Adoption Measure Types,4,FALSE,Login,FALSE,adoption4,TRUE,
a0L9000000Ct9vuEAB,YTD Unique,TRUE,TRUE,#ff6600,,,TRUE,Adoption Measure Types,1,TRUE,YTD Unique,FALSE,adoption1,FALSE,
a0L9000000Ct9vvEAB,Total Logins,TRUE,TRUE,#7799bf,,,TRUE,Adoption Measure Types,3,FALSE,Total Logins,FALSE,adoption3,FALSE,
a0L9000000Ct9vwEAB,Unique Logins,TRUE,TRUE,#55bf3b,,,TRUE,Adoption Measure Types,2,FALSE,Unique Logins,FALSE,adoption2,FALSE,
a0L9000000Ct9vxEAB,Inactive,TRUE,FALSE,,,,FALSE,Customer Status,2,FALSE,Inactive,TRUE,InactiveCustomer,FALSE,
a0L9000000Ct9vyEAB,Debook,TRUE,FALSE,#FC8383,,,FALSE,Order Type,8,FALSE,Debook,TRUE,Debook,FALSE,Debook
a0L9000000Ct9vzEAB,New Sponsor,TRUE,FALSE,#aaeeed,,,FALSE,Churn Reason,4,FALSE,New Sponsor,FALSE,churnreason4,FALSE,
a0L9000000Ct9w0EAB,Other,TRUE,FALSE,#fe9900,,,FALSE,Churn Reason,5,FALSE,Other,FALSE,churnreason5,FALSE,
a0L9000000Ct9w1EAB,Compete,TRUE,FALSE,#55bf3b,,,FALSE,Churn Reason,2,FALSE,Compete,FALSE,churnreason2,FALSE,
a0L9000000Ct9w2EAB,Mega,TRUE,FALSE,#df5352,,,FALSE,Churn Reason,3,FALSE,Mega,FALSE,churnreason3,FALSE,
a0L9000000Ct9w3EAB,Acquisition,TRUE,FALSE,#7799bf,,,FALSE,Churn Reason,1,FALSE,Acquisition,FALSE,churnreason1,FALSE,
