TransHeader_ExternalId__c,JBCXM__ACCOUNT__R.Data_ExternalId__c,JBCXM__ASVTOTAL__C,JBCXM__ASV__C,JBCXM__CHURNREASON__r.Picklist_ExternalId__c,JBCXM__COMMENT__C,JBCXM__DATE__C,JBCXM__MRRTOTAL__C,JBCXM__MRR__C,JBCXM__MAIN__C,JBCXM__NAME__C,JBCXM__NEXTRENEWALDATE__C,JBCXM__ONETIMEREVENUE__C,JBCXM__ORDERTYPE__r.Picklist_ExternalId__c,JBCXM__ORIGINALCONTRACT__C,JBCXM__RENEWABLE__C,JBCXM__RENEWALSTATUS__C,JBCXM__REVRECENDDATE__C,JBCXM__REVRECSTARTDATE__C,JBCXM__TERM_FRACTIONAL__C,JBCXM__TERM__C,JBCXM__USERSTOTAL__C,JBCXM__USERS__C
a0i90000001JPREAA4,Cadbury Beverages Div Cadbury,0,0,,"Quote $39 per sub plus prem support

--------
Quoted AB Sciex:  $43 (Subscriptions) + 6.45 (Prem Support) = $49.5

Difference Between what Life Tech paid and Normal Pricing:
49.5 - 24.5(Life Tech Paid) =  $25
$25  X 250 X 12 = $75K",2010-09-09,0,0,FALSE,,,530,a0L9000000Ct9wXEAR,,FALSE,Not renewable,,2010-09-09,,0,0,0
a0i90000001JPRnAAO,Cadbury Beverages Div Cadbury,-194400,-194400,a0L9000000Ct9w3EAB,,2012-12-31,-16200,-16200,FALSE,,,0,a0L9000000Ct9wSEAR,,FALSE,Not renewable,,2012-12-31,,0,-127,-127
a0i90000001JPRdAAO,Cadbury Beverages Div Cadbury,6600,6600,,"2/3 Quote $39 per sub plus prem support

--------
Quoted AB Sciex:  $43 (Subscriptions) + 6.45 (Prem Support) = $49.5

Difference Between what Life Tech paid and Normal Pricing:
49.5 - 24.5(Life Tech Paid) =  $25
$25  X 250 X 12 = $75K",2012-10-23,550,550,FALSE,,2012-12-24,0,a0L9000000Ct9wXEAR,,FALSE,Not renewable,2012-12-23,2012-10-23,2.037,0,4,4
a0i90000001JPRxAAO,Cahn Instruments Inc,1200,1200,,,2010-01-10,100,100,FALSE,,2010-09-27,0,a0L9000000Ct9xIEAR,,FALSE,Not renewable,2010-09-26,2010-01-27,8,0,5,5
a0i90000001JPVfAAO,Daley Business Forms,40920,40920,,Reconciled by Gainsight Aug13,2012-04-27,3410,3410,TRUE,,2013-04-27,4200,a0L9000000Ct9wREAR,,TRUE,Closed - Renewed,2013-04-26,2012-04-27,12,0,18,18
a0i90000001JPVkAAO,Daley Business Forms,6000,6000,,,2012-05-18,500,500,FALSE,,2012-11-18,0,a0L9000000Ct9wXEAR,,FALSE,Closed - Will not renew,2012-11-17,2012-05-18,6,0,5,5
a0i90000001JPQQAA4,CADAM Inc.,1188,1188,,,2013-04-12,99,99,TRUE,,2013-05-12,0,a0L9000000Ct9wREAR,,FALSE,Closed - Will not renew,2013-05-11,2013-04-12,1,0,1,1
a0i90000001JPRiAAO,Cadbury Beverages Div Cadbury,-1800,-1800,,,2012-11-23,-150,-150,FALSE,,,0,a0L9000000Ct9wOEAR,,FALSE,Not renewable,,2012-11-23,,0,-2,-2
a0i90000001JPRYAA4,Cadbury Beverages Div Cadbury,91200,91200,,,2012-07-23,7600,7600,TRUE,,2012-12-24,0,a0L9000000Ct9wREAR,,TRUE,Open,2012-12-23,2012-07-23,5.0597,0,75,75
a0i90000001JPW9AAO,Daley Business Forms,3600,3600,,,2014-02-01,300,300,TRUE,,2014-11-01,1200,a0L9000000Ct9wYEAR,,TRUE,Open,2014-10-31,2014-02-01,9,0,3,3
a0i90000001JPQaAAO,CADAM Inc.,-1188,-1188,,,2013-05-11,-99,-99,FALSE,,,0,a0L9000000Ct9wOEAR,,FALSE,Not renewable,,2013-05-11,,0,-1,-1
a0i90000001JPQkAAO,Cadbury Beverages Div Cadbury,97200,0,,,2008-06-12,8100,0,TRUE,,2009-06-12,0,a0L9000000Ct9wAEAR,,TRUE,Closed - Renewed,2009-06-11,2008-06-12,12,0,50,0
a0i90000001JPS2AAO,Cahn Instruments Inc,4140,0,,,2010-09-25,345,0,TRUE,,2011-09-27,0,a0L9000000Ct9wAEAR,,TRUE,Closed - Renewed,2011-09-26,2010-09-27,12,0,25,0
