JBCXM__OrderNumber__r.TransHeader_ExternalID__c,JBCXM__ASV__C,JBCXM__BOOKING__C,JBCXM__DATE__C,JBCXM__MRR__C,JBCXM__NEXTRENEWALDATE__C,JBCXM__ONETIMEREVENUE__C,JBCXM__REVRECENDDATE__C,JBCXM__REVRECSTARTDATE__C,JBCXM__TERM__C,JBCXM__TRANSACTIONLINES__r.TransTypes_ExternalID__c,JBCXM__USERS__C
a0i90000001JPREAA4,0,0,2010-09-09,0,,0,,2010-09-09,0,a0m90000003DOurAAG,
a0i90000001JPREAA4,,0,2010-09-09,,,0,,2010-09-09,0,a0m90000003DOuqAAG,0
a0i90000001JPREAA4,,530,2010-09-09,,,530,,2010-09-09,0,a0m90000003DOusAAG,
a0i90000001JPRnAAO,-194400,0,2012-12-31,-16200,,0,,2012-12-31,0,a0m90000003DOurAAG,0
a0i90000001JPRnAAO,0,0,2012-12-31,0,,0,,2012-12-31,0,a0m90000003DOuqAAG,-127
a0i90000001JPRdAAO,6600,550,2012-10-23,550,2012-12-24,0,2012-12-23,2012-10-23,0,a0m90000003DOurAAG,
a0i90000001JPRdAAO,,4,2012-10-23,,2012-12-24,0,2012-12-23,2012-10-23,0,a0m90000003DOuqAAG,4
a0i90000001JPRdAAO,,0,2012-10-23,,2012-12-24,0,2012-12-23,2012-10-23,0,a0m90000003DOusAAG,
a0i90000001JPRxAAO,,5,2010-01-10,,2010-09-27,0,2010-09-26,2010-01-27,0,a0m90000003DOuqAAG,5
a0i90000001JPRxAAO,1200,100,2010-01-10,100,2010-09-27,0,2010-09-26,2010-01-27,0,a0m90000003DOurAAG,
a0i90000001JPRxAAO,,0,2010-01-10,,2010-09-27,0,2010-09-26,2010-01-27,0,a0m90000003DOusAAG,
a0i90000001JPVfAAO,40920,3410,2012-04-27,3410,2013-04-27,0,2013-04-26,2012-04-27,0,a0m90000003DOurAAG,
a0i90000001JPVfAAO,,18,2012-04-27,,2013-04-27,0,2013-04-26,2012-04-27,0,a0m90000003DOuqAAG,18
a0i90000001JPVfAAO,,4200,2012-04-27,,2013-04-27,4200,2013-04-26,2012-04-27,0,a0m90000003DOupAAG,
a0i90000001JPVkAAO,6000,500,2012-05-18,500,2012-11-18,0,2012-11-17,2012-05-18,0,a0m90000003DOurAAG,
a0i90000001JPVkAAO,,5,2012-05-18,,2012-11-18,0,2012-11-17,2012-05-18,0,a0m90000003DOuqAAG,5
a0i90000001JPVkAAO,,0,2012-05-18,,2012-11-18,0,2012-11-17,2012-05-18,0,a0m90000003DOusAAG,
a0i90000001JPQQAA4,1188,99,2013-04-12,99,2013-05-12,0,2013-05-11,2013-04-12,0,a0m90000003DOurAAG,
a0i90000001JPQQAA4,,1,2013-04-12,,2013-05-12,0,2013-05-11,2013-04-12,0,a0m90000003DOuqAAG,1
