Data_ExternalId__c,NAME,TYPE,WEBSITE,INDUSTRY,ANNUALREVENUE,NUMBEROFEMPLOYEES,DESCRIPTION,JIGSAW
001i0000007FbsvAAC,Acme,Prospect,,Manufacturing,1.00E+08,680,,AUTO_SAMPLE_DATA
001i0000007FbswAAC,salesforce.com,Customer,http://www.salesforce.com,Technology,,0,"Founded in March 1999, salesforce.com (http://www.salesforce.com) builds and delivers customer relationship management (CRM) applications as scalable online services. The salesforce.com product suite - Team Edition, Professional Edition, Enterprise Edition, Wireless Edition and Offline Edition - gives companies of all sizes a complete 360-degree view of the customer. The company's award-winning CRM solutions provide integrated online sales force automation, customer service and support management, and marketing automation applications to help companies meet the complex challenges of global customer communication. Salesforce.com has received considerable recognition in the industry, including Editors' Choice and two Five-Star ratings from PC Magazine, two Deploy Awards from InfoWorld, Red Herring 100, Upside Hot 100, Investor's Choice Award from Enterprise Outlook, Editors' Choice from TMCLabs, Top 10 CRM Implementation from Aberdeen Group, and InfoWorld's 2001 CRM Technology of the Year. Founded in 1999, salesforce.com is headquartered in San Francisco, with offices in Europe and Asia.",AUTO_SAMPLE_DATA
001i0000007FbsxAAC,Global Media,Prospect,,Media,,14668,"GBM is the worldwide leader in technology news and information on the Web and the producer of the longest-running and farthest-reaching television shows about technology. GBM's network of sites combines breakthrough interactive technology with engaging content and design and is consistently ranked as the Internet's leading content network in terms of both audience size and revenue, serving millions of users each day. The company's television programming is broadcast by the USA Network and the Sci-Fi Channel to more than 70 million households and is syndicated to broadcast television stations in the nation's top 120 markets, including the top 10 markets.",AUTO_SAMPLE_DATA
001i0000007PElvAAG,GenePoint,Customer - Channel,www.genepoint.com,Biotechnology,3.00E+07,265,Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs,AUTO_SAMPLE_DATA
001i0000007PElwAAG,"United Oil & Gas, UK",Customer - Direct,http://www.uos.com,Energy,,24000,,AUTO_SAMPLE_DATA
001i0000007PElxAAG,"United Oil & Gas, Singapore",Customer - Direct,http://www.uos.com,Energy,,3000,,AUTO_SAMPLE_DATA
001i0000007PElyAAG,Edge Communications,Customer - Direct,http://edgecomm.com,Electronics,1.39E+08,1000,"Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.",AUTO_SAMPLE_DATA
001i0000007PElzAAG,Burlington Textiles Corp of America,Customer - Direct,www.burlington.com,Apparel,3.50E+08,9000,,AUTO_SAMPLE_DATA
001i0000007PEm0AAG,Pyramid Construction Inc.,Customer - Channel,www.pyramid.com,Construction,9.50E+08,2680,,AUTO_SAMPLE_DATA
001i0000007PEm1AAG,Dickenson plc,Customer - Channel,dickenson-consulting.com,Consulting,5.00E+07,120,,AUTO_SAMPLE_DATA
