JBCXM__ACCOUNT__r.Data_ExternalId__c,JBCXM__STAGE__r.JBCXM__SystemName__c,JBCXM__STATUS__r.JBCXM__SystemName__c,JBCXM__CHURN__r.TransHeader_ExternalId__c,JBCXM__ASV__C,JBCXM__MRR__C,JBCXM__ONETIMEREVENUE__C,JBCXM__NEXTRENEWALDATE__C,JBCXM__ORIGINALCONTRACTDATE__C,JBCXM__USERS__C,JBCXM__OriginalContractNumber__c
001i0000007PEn4AAG,stage1,ChurnCustomer,a0Ni0000000KVZ8EAO,0,0,1440,2012-03-18,2011-03-18,0,AUTO_SAMPLE_DATA
001i0000007PEnEAAW,stage4,ChurnCustomer,a0Ni0000000KVZ9EAO,0,0,720,2012-03-14,2011-09-14,0,AUTO_SAMPLE_DATA
001i0000007PEnGAAW,stage2,ChurnCustomer,a0Ni0000000KVZAEA4,0,0,4320,2012-08-22,2011-02-22,0,AUTO_SAMPLE_DATA
001i0000007PEmFAAW,stage4,ChurnCustomer,a0Ni0000000KVZBEA4,0,0,7200,2012-10-02,2010-04-02,0,AUTO_SAMPLE_DATA
001i0000007PEmCAAW,stage6,ChurnCustomer,a0Ni0000000KVZCEA4,0,0,4104,2012-11-22,2011-05-22,0,AUTO_SAMPLE_DATA
001i0000007PEmaAAG,stage1,ChurnCustomer,a0Ni0000000KVZJEA4,0,0,3240,2012-05-28,2010-11-30,0,AUTO_SAMPLE_DATA
001i0000007PEmVAAW,stage1,ChurnCustomer,a0Ni0000000KVZKEA4,0,0,4104,2012-10-15,2011-04-15,0,AUTO_SAMPLE_DATA
001i000000KvvsNAAR,stage1,ChurnCustomer,a0Ni0000000sT6pEAE,0,0,0,2013-05-13,2012-05-11,0,AUTO_SAMPLE_DATA
001i000000KvzB2AAJ,stage1,ChurnCustomer,a0Ni0000000sTvoEAE,0,0,0,2013-12-02,2011-12-01,0,AUTO_SAMPLE_DATA
001i000000KvzA7AAJ,stage1,ChurnCustomer,a0Ni0000000sTuOEAU,0,0,0,2012-08-02,2011-08-01,0,AUTO_SAMPLE_DATA
001i000000KvvswAAB,stage1,ChurnCustomer,a0Ni0000000sT95EAE,0,0,0,2013-05-06,2012-05-05,0,AUTO_SAMPLE_DATA
001i000000KvzC0AAJ,stage1,ChurnCustomer,a0Ni0000000sTvKEAU,0,0,0,2013-03-02,2012-03-01,0,AUTO_SAMPLE_DATA
001i000000KvzAYAAZ,stage1,ChurnCustomer,a0Ni0000000sTxGEAU,0,0,0,2012-09-02,2011-09-01,0,AUTO_SAMPLE_DATA
001i000000KvvsXAAR,stage1,ChurnCustomer,a0Ni0000000sTxVEAU,0,0,0,2013-04-02,2012-04-01,0,AUTO_SAMPLE_DATA
001i000000KvzBRAAZ,stage1,ChurnCustomer,a0Ni0000000sTvAEAU,0,0,0,2013-01-02,2012-01-01,0,AUTO_SAMPLE_DATA
001i000000KvzE1AAJ,stage1,ChurnCustomer,a0Ni0000000sTx1EAE,0,0,0,2013-07-02,2012-07-01,0,AUTO_SAMPLE_DATA
001i000000KvzDJAAZ,stage1,ChurnCustomer,a0Ni0000000sTwmEAE,0,0,0,2012-12-02,2011-12-01,0,AUTO_SAMPLE_DATA
001i0000007PEnLAAW,stage4,ChurnCustomer,a0Ni00000030crZEAQ,0,0,1800,2013-11-12,2013-05-12,0,AUTO_SAMPLE_DATA
001i000000KvvVNAAZ,stage1,ChurnCustomer,a0Ni00000030crFEAQ,0,0,0,2013-10-13,2013-04-15,0,AUTO_SAMPLE_DATA
001i000000KvvpLAAR,stage1,ChurnCustomer,a0Ni0000004brHCEAY,0,0,0,2014-01-21,2011-01-20,0,AUTO_SAMPLE_DATA
