JBCXM__ACTIVE__C,JBCXM__DISPLAYORDER__C,JBCXM__ORDERTYPE__r.JBCXM__SystemName__c,JBCXM__TRANSACTIONTYPE__r.TransTypes_ExternalId__c
TRUE,3,Debook,a0Ri0000000I3XSEA0
TRUE,5,Renewal,a0Ri0000000I3XSEA0
TRUE,2,New Business,a0Ri0000000I3XTEA0
FALSE,100,New Business,a0Ri0000000I3XSEA0
FALSE,100,Debook,a0Ri0000000I3XUEA0
TRUE,1,New Business,a0Ri0000000I3XVEA0
TRUE,2,Debook,a0Ri0000000I3XTEA0
TRUE,1,Upsell,a0Ri0000000I3XVEA0
FALSE,100,Downsell,a0Ri0000000I3XUEA0
TRUE,1,Downsell,a0Ri0000000I3XVEA0
TRUE,2,Upsell,a0Ri0000000I3XTEA0
TRUE,3,Upsell,a0Ri0000000I3XUEA0
TRUE,1,Debook,a0Ri0000000I3XVEA0
TRUE,2,Downsell,a0Ri0000000I3XTEA0
TRUE,1,Renewal,a0Ri0000000I3XUEA0
TRUE,2,Renewal,a0Ri0000000I3XVEA0
TRUE,3,Renewal,a0Ri0000000I3XWEA0
TRUE,4,Renewal,a0Ri0000000I3XTEA0
TRUE,3,New Business,a0Ri0000000I3XUEA0
TRUE,3,Downsell,a0Ri0000000I3XSEA0
