"ID","OWNERID","ISDELETED","NAME","CREATEDDATE","CREATEDBYID","LASTMODIFIEDDATE","LASTMODIFIEDBYID","SYSTEMMODSTAMP","JBCXM__ACTIVE__C","JBCXM__ADOPTIONMEASURE__C","JBCXM__ATTRIBUTE1__C","JBCXM__ATTRIBUTE2__C","JBCXM__ATTRIBUTE3__C","JBCXM__ATTRIBUTE4__C","JBCXM__CATEGORY__C","JBCXM__DISPLAYORDER__C","JBCXM__INCLUDEINWIDGET__C","JBCXM__SHORTNAME__C","JBCXM__SYSTEMDEFINED__C","JBCXM__SYSTEMNAME__C","JBCXM__USAGETRACKINGMEASURE__C","JBCXM__MAPTOBOOKINGTYPE__C"
"a0Di0000000Rx6EEAS","005i0000000aHqzAAE","false","YTD Unique","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","true","true","#ff6600","Logins","","false","Adoption Measure Types","20.0","true","YTD Unique","false","adoption1","false",""
"a0Di0000000Rx6FEAS","005i0000000aHqzAAE","false","Total Logins","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","true","true","#7799bf","Logins","","false","Adoption Measure Types","20.0","false","","false","adoption3","false",""
"a0Di0000000Rx6GEAS","005i0000000aHqzAAE","false","Mobile file uploads","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","true","true","#55bf3b","Adoption","","false","Adoption Measure Types","10.0","false","","false","adoption2","false",""
"a0Di0000000Rx6HEAS","005i0000000aHqzAAE","false","Debook","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","true","false","#ffffff","","","false","Order Type","8.0","false","","true","Debook","false","Debook"
"a0Di0000000Rx6IEAS","005i0000000aHqzAAE","false","Inactive","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","true","false","","","","false","Customer Status","2.0","false","Inactive","true","InactiveCustomer","false",""
"a0Di0000000Rx6nEAC","005i0000000aHqzAAE","false","New Business","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","true","false","","","","false","Customer Stage","1.0","false","New Business","false","stage1","false",""
"a0Di0000000Rx6pEAC","005i0000000aHqzAAE","false","Need to watch","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","true","false","","","","false","Customer Stage","6.0","false","Watch","false","stage6","false",""
"a0Di0000000Rx6qEAC","005i0000000aHqzAAE","false","Upsell","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","true","false","#ffff00","","","false","Order Type","2.0","false","","true","Upsell","false","Upsell"
"a0Di0000000Rx6rEAC","005i0000000aHqzAAE","false","Active","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","true","false","","","","false","Customer Status","1.0","false","Active","true","ActiveCustomer","false",""
"a0Di0000000Rx6sEAC","005i0000000aHqzAAE","false","Renewal with Upsell","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","true","false","#ffffaa","","","false","Order Type","5.0","false","","true","Renewal with Upsell","false","Renewal with Upsell"
"a0Di0000000Rx6tEAC","005i0000000aHqzAAE","false","Implementation start date","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","true","false","","","","false","Milestones","1.0","false","","false","Implementation start date","false",""
"a0Di0000000Rx6uEAC","005i0000000aHqzAAE","false","Referral","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","true","false","#FF0000","","","false","Milestones","3.0","false","Ref","false","Referral","false",""
"a0Di0000000Rx6vEAC","005i0000000aHqzAAE","false","Implementation end date","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","true","false","","","","false","Milestones","2.0","false","","false","Implementation end date","false",""
"a0Di0000000Rx6QEAS","005i0000000aHqzAAE","false","Green","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","true","false","#00cd00","","","false","Alert Severity","3.0","true","Green","true","yellowalert","false",""
"a0Di0000000Rx6REAS","005i0000000aHqzAAE","false","Renewal with Downsell","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","true","false","#ff3333","","","false","Order Type","6.0","false","","true","Renewal with Downsell","false","Renewal with Downsell"
"a0Di0000000Rx6UEAS","005i0000000aHqzAAE","false","Renewal","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","true","false","#008b00","","","false","Order Type","4.0","false","","true","Renewal","false","Renewal"
"a0Di0000000Rx6VEAS","005i0000000aHqzAAE","false","4 - Closed","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2014-01-21T07:38:32.000Z","005i0000000aHqzAAE","2014-01-21T07:38:32.000Z","true","false","#33ff33","","","false","Alert Status","4.0","false","Closed","true","Closed","false",""
"a0Di0000000Rx6wEAC","005i0000000aHqzAAE","false","Case Study","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","true","false","","","","false","Relationship Activity","1.0","false","","false","CaseStudy","false",""
"a0Di0000000Rx6xEAC","005i0000000aHqzAAE","false","Reference","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","true","false","","","","false","Relationship Activity","2.0","false","","false","Reference","false",""
"a0Di0000000Rx6yEAC","005i0000000aHqzAAE","false","Other","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2014-01-13T17:43:41.000Z","005i0000000aHqzAAE","2014-01-13T17:43:41.000Z","true","false","#ff0066","","","false","Churn Reason","6.0","false","Other","false","churnreason6","false",""
"a0Di0000000Rx70EAC","005i0000000aHqzAAE","false","User Group Participation","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","true","false","","","","false","Relationship Activity","3.0","false","","false","UserGroupParticipation","false",""
"a0Di0000000Rx71EAC","005i0000000aHqzAAE","false","Transaction","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","true","false","","","","false","Milestones","5.0","false","","false","Transaction","false",""
"a0Di0000000Rx72EAC","005i0000000aHqzAAE","false","Rollout","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","true","false","#33ccff","","","false","Milestones","4.0","false","","false","Rollout","false",""
"a0Di0000000Rx75EAC","005i0000000aHqzAAE","false","Webinar Participation","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","true","false","","","","false","Relationship Activity","4.0","false","","false","WebinarParticipation","false",""
"a0Di0000000Rx77EAC","005i0000000aHqzAAE","false","Report Run","2013-04-18T12:43:00.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","005i0000000aHqzAAE","2013-11-07T19:48:05.000Z","true","false","#0000cc","Others","","false","Adoption Measure Types","10.0","false","Reports","false","reprun","true",""
