TransHeader_ExternalId__c,JBCXM__ACCOUNT__R.Data_ExternalId__c,JBCXM__ORDERTYPE__r.JBCXM__SystemName__c,JBCXM__CHURNREASON__r.JBCXM__SystemName__c,JBCXM__PARENTTRANSACTION__r.TransHeader_ExternalId__c,JBCXM__RENEWALTRANSACTION__r.TransHeader_ExternalId__c,JBCXM__ASVTOTAL__C,JBCXM__ASV__C,JBCXM__COMMENT__C,JBCXM__FCSTASV__C,JBCXM__FCSTMRR__C,JBCXM__FCSTUSER__C,JBCXM__MRRTOTAL__C,JBCXM__MRR__C,JBCXM__MAIN__C,JBCXM__ONETIMEREVENUE__C,JBCXM__ORIGINALCONTRACT__C,JBCXM__RENEWABLE__C,JBCXM__RENEWALSTATUS__C,JBCXM__DATE__C,JBCXM__FCSTBOOKINGDATE__C,JBCXM__NEXTRENEWALDATE__C,JBCXM__REVRECENDDATE__C,JBCXM__REVRECSTARTDATE__C,JBCXM__SALESREP__C,JBCXM__TERM_FRACTIONAL__C,JBCXM__TERM__C,JBCXM__USERSTOTAL__C,JBCXM__USERS__C
a0Ni0000000KVWwEAO,001i0000007PEmlAAG,New Business,,,,18000,18000,New Business closed with the Following Products: ABC,18000,1500,30,1500,1500,TRUE,1080,,TRUE,Open,2013-04-05,2011-07-05,2014-10-05,2014-10-04,2013-04-05,,18,0,30,30
a0Ni0000000KVWxEAO,001i0000007PEn4AAG,New Business,,,,12000,12000,New Business closed with the Following Products: ABC,12000,1000,20,1000,1000,TRUE,1440,,TRUE,Open,2011-03-18,2011-12-18,2012-03-18,2012-03-17,2011-03-18,,12,0,20,20
a0Ni0000000KVWyEAO,001i0000007PEnEAAW,New Business,,,,12000,12000,New Business closed with the Following Products: ABC,12000,1000,20,1000,1000,TRUE,720,,TRUE,Open,2011-09-14,2011-12-14,2012-03-14,2012-03-13,2011-09-14,,6,0,20,20
a0Ni0000000KVWtEAO,001i0000007PElvAAG,New Business,,,,60000,60000,,60000,5000,40,5000,5000,TRUE,30000,,TRUE,Open,2013-08-22,2013-09-22,2014-08-22,2014-08-21,2013-08-22,,12,0,40,40
a0Ni0000000KVWuEAO,001i0000007PElzAAG,New Business,,,,60000,60000,Initial subscription for pilot roll out.,60000,5000,15,5000,5000,TRUE,22000,,TRUE,Open,2013-02-01,2013-11-01,2014-02-01,2014-01-31,2013-02-01,,12,0,15,15
a0Ni0000000KVWvEAO,001i0000007PEm0AAG,New Business,,,,60000,60000,,60000,5000,10,5000,5000,TRUE,0,,TRUE,Open,2013-12-02,2013-09-22,2014-07-12,2014-07-11,2013-12-02,,7.2924,0,10,10
a0Ni0000000KVWzEAO,001i0000007PEnGAAW,New Business,,,,48000,48000,"New Business closed with the Following Products: ABC, DEF",48000,4000,40,4000,4000,TRUE,4320,,TRUE,Open,2011-02-22,2012-05-22,2012-08-22,2012-08-21,2011-02-22,,18,0,40,40
a0Ni0000000KVX0EAO,001i0000007PEmEAAW,New Business,,,,42000,42000,"New Business closed with the Following Products: ABC, DEF",42000,3500,35,3500,3500,TRUE,2520,,TRUE,Closed - Renewed,2010-10-21,2011-07-21,2011-10-21,2011-10-20,2010-10-21,,12,0,35,35
a0Ni0000000KVX1EAO,001i0000007PEmFAAW,New Business,,,,24000,24000,New Business closed with the Following Products: ABC,24000,2000,40,2000,2000,TRUE,7200,,TRUE,Open,2010-04-02,2012-07-02,2012-10-02,2012-10-01,2010-04-02,,30,0,40,40
a0Ni0000000KVXAEA4,001i0000007PEmaAAG,New Business,,,,18000,18000,New Business closed with the Following Products: ABC,18000,1500,30,1500,1500,TRUE,3240,,TRUE,Open,2010-11-30,2012-02-28,2012-05-28,2012-05-27,2010-11-30,,17.8731,0,30,30
a0Ni0000000KVXBEA4,001i0000007PEmVAAW,New Business,,,,45600,45600,"New Business closed with the Following Products: ABC, DEF",45600,3800,38,3800,3800,TRUE,4104,,TRUE,Open,2011-04-15,2012-07-15,2012-10-15,2012-10-14,2011-04-15,,18,0,38,38
a0Ni0000000KVXCEA4,001i0000007PEnHAAW,New Business,,,,96000,96000,"New Business closed with the Following Products: ABC, DEF,GHI, JKL",96000,8000,40,8000,8000,TRUE,1440,,TRUE,Open,2012-06-18,2012-09-18,2012-12-18,2012-12-17,2012-06-18,,6,0,50,50
a0Ni0000000KVX7EAO,001i0000007PEn5AAG,New Business,,,,18000,18000,New Business closed with the Following Products: ABC,18000,1500,30,1500,1500,TRUE,2160,,TRUE,Open,2011-05-19,2011-10-19,2012-05-19,2012-05-18,2011-05-19,,12,0,30,30
a0Ni0000000KVX8EAO,001i0000007PEmSAAW,New Business,,,a0Ni0000000KVYrEAO,48000,48000,"New Business closed with the Following Products: ABC, DEF,GHI",75600,6300,42,4000,4000,TRUE,1512,,TRUE,Closed - Renewed,2011-06-23,2011-09-23,2011-12-23,2011-12-22,2011-06-23,,6,0,42,42
a0Ni0000000KVX9EAO,001i0000007PEnkAAG,New Business,,,,15000,15000,New Business closed with the Following Products: ABC,15000,1250,25,1250,1250,TRUE,900,,TRUE,Open,2013-02-11,2011-04-11,2014-07-11,2014-07-10,2013-02-11,,17,0,25,25
a0Ni0000000KVX2EAO,001i0000007PEmCAAW,New Business,,,,91200,91200,"New Business closed with the Following Products: ABC, DEF,GHI, JKL",91200,7600,38,7600,7600,TRUE,4104,,TRUE,Open,2011-05-22,2012-08-22,2012-11-22,2012-11-21,2011-05-22,,18,0,38,38
a0Ni0000000KVX3EAO,001i0000007PEmQAAW,New Business,,,,84000,84000,"New Business closed with the Following Products: ABC, DEF,GHI, JKL",84000,7000,35,7000,7000,TRUE,3780,,TRUE,Open,2013-04-04,2011-07-04,2014-04-05,2014-04-04,2013-04-04,,12.0249,0,35,35
a0Ni0000000KVX4EAO,001i0000007PEnLAAW,New Business,,,,15000,15000,New Business closed with the Following Products: ABC,15000,1250,25,1250,1250,TRUE,1800,,TRUE,Open,2013-05-12,2011-03-12,2013-11-12,2013-11-11,2013-05-12,,6,0,25,25
a0Ni0000000KVX5EAO,001i0000007PEnBAAW,New Business,,,,91200,91200,"New Business closed with the Following Products: ABC, DEF,GHI, JKL",91200,7600,38,7600,7600,TRUE,5472,,TRUE,Open,2013-06-22,2012-03-22,2014-06-22,2014-06-21,2013-06-22,,12,0,38,38
a0Ni0000000KVX6EAO,001i0000007PEmBAAW,New Business,,,,15000,15000,New Business closed with the Following Products: ABC,15000,1250,25,1250,1250,TRUE,900,,TRUE,Open,2013-07-15,2010-10-15,2014-01-15,2014-01-14,2013-07-15,,6,0,25,25
a0Ni0000000KVXDEA4,001i0000007PEn0AAG,New Business,,,,27000,27000,"New Business closed with the Following Products: ABC, DEF,GHI",27000,2250,30,2250,2250,TRUE,1080,,TRUE,Closed - Renewed,2011-06-26,2012-03-26,2012-06-26,2012-06-25,2011-06-26,,12,0,30,30
a0Ni0000000KVXEEA4,001i0000007PEndAAG,New Business,,,,48000,48000,"New Business closed with the Following Products: ABC, DEF",48000,4000,40,4000,4000,TRUE,8640,,TRUE,Closed - Renewed,2010-05-10,2013-02-10,2013-05-10,2013-05-09,2010-05-10,,36,0,40,40
a0Ni0000000KVXFEA4,001i0000007PEmwAAG,New Business,,,a0Ni0000004cKLrEAM,54000,54000,"New Business closed with the Following Products: ABC, DEF,GHI",72000,6000,45,4500,4500,TRUE,2160,,TRUE,Closed - Renewed,2012-04-11,2013-01-11,2013-04-11,2013-04-10,2012-04-11,,12,0,30,30
a0Ni0000000KVXGEA4,001i0000007PEnzAAG,New Business,,,a0Ni0000004cKJMEA2,91200,91200,"New Business closed with the Following Products: ABC, DEF,GHI, JKL",91200,7600,38,7600,7600,TRUE,1368,,TRUE,Closed - Renewed,2011-09-09,2011-12-09,2012-03-09,2012-03-08,2011-09-09,,6,0,38,38
a0Ni0000000KVXHEA4,001i0000007PEmWAAW,New Business,,,a0Ni0000004cKMuEAM,18000,18000,New Business closed with the Following Products: ABC,18000,1500,30,1500,1500,TRUE,4320,,TRUE,Closed - Renewed,2011-06-10,2013-03-10,2013-06-10,2013-06-09,2011-06-10,,24,0,30,30
a0Ni0000000KVXIEA4,001i0000007PEmUAAW,New Business,,,,48000,48000,"New Business closed with the Following Products: ABC, DEF",48000,4000,40,4000,4000,TRUE,7200,,TRUE,Open,2013-06-07,2012-12-07,2014-06-07,2014-06-06,2013-06-07,,12,0,40,40
a0Ni0000000KVXJEA4,001i0000007PEnKAAW,New Business,,,a0Ni0000003dXi2EAE,72000,72000,"New Business closed with the Following Products: ABC, DEF,GHI",72000,6000,40,6000,6000,TRUE,7200,,TRUE,Closed - Renewed,2011-04-10,2013-07-10,2013-10-10,2013-10-09,2011-04-10,,30,0,40,40
a0Ni0000000KVXKEA4,001i0000007PEnoAAG,New Business,,,,79200,79200,"New Business closed with the Following Products: ABC, DEF,GHI, JKL",79200,6600,33,6600,6600,TRUE,2376,,TRUE,Closed - Renewed,2010-09-27,2011-06-27,2011-09-27,2011-09-26,2010-09-27,,12,0,33,33
a0Ni0000000KVXLEA4,001i0000007PEngAAG,New Business,,,,91200,91200,"New Business closed with the Following Products: ABC, DEF,GHI, JKL",91200,7600,38,7600,7600,TRUE,2736,,TRUE,Closed - Renewed,2011-09-24,2012-06-24,2012-09-24,2012-09-23,2011-09-24,,12,0,38,38
a0Ni0000000KVXMEA4,001i0000007PEnPAAW,New Business,,,,48000,48000,"New Business closed with the Following Products: ABC, DEF",48000,4000,40,4000,4000,TRUE,7200,,TRUE,Open,2012-01-17,2014-04-17,2014-07-17,2014-07-16,2012-01-17,,30,0,40,40
a0Ni0000000KVXNEA4,001i0000007PEnMAAW,New Business,,,a0Ni00000030dRdEAI,120000,120000,"New Business closed with the Following Products: ABC, DEF,GHI, JKL",120000,10000,50,10000,10000,TRUE,7200,,TRUE,Closed - Renewed,2012-03-15,2013-12-15,2013-11-08,2013-11-07,2012-03-15,,19.8129,0,50,50
a0Ni0000000KVXSEA4,001i0000007PEmrAAG,New Business,,,a0Ni0000003dXiHEAU,36000,36000,"New Business closed with the Following Products: ABC, DEF",36000,3000,30,3000,3000,TRUE,4320,,TRUE,Closed - Renewed,2011-11-14,2013-08-14,2013-11-14,2013-11-13,2011-11-14,,24,0,30,30
a0Ni0000000KVXTEA4,001i0000007PEnxAAG,New Business,,,a0Ni0000003dXiCEAU,30000,30000,New Business closed with the Following Products: ABCD,30000,2500,50,2500,2500,TRUE,9000,,TRUE,Closed - Renewed,2011-05-12,2013-08-12,2013-11-12,2013-11-11,2011-05-12,,30,0,50,50
a0Ni0000000KVXREA4,001i0000007PEnaAAG,New Business,,,,61200,61200,"New Business closed with the Following Products: ABC, DEF,GHI",61200,5100,34,5100,5100,TRUE,2448,,TRUE,Closed - Renewed,2011-10-18,2012-07-18,2012-10-18,2012-10-17,2011-10-18,,12,0,34,34
a0Ni0000000KVXOEA4,001i0000007PEmOAAW,New Business,,,a0Ni0000004cKF5EAM,68400,68400,"New Business closed with the Following Products: ABC, DEF,GHI",68400,5700,38,5700,5700,TRUE,1368,,TRUE,Closed - Renewed,2012-09-10,2012-12-10,2013-03-10,2013-03-09,2012-09-10,,6,0,38,38
a0Ni0000000KVXPEA4,001i0000007PEnfAAG,New Business,,,,36000,36000,"New Business closed with the Following Products: ABC, DEF",36000,3000,30,3000,3000,TRUE,3240,,TRUE,Open,2013-12-14,2013-12-10,2014-11-12,2014-11-11,2013-12-14,,10.9407,0,30,30
a0Ni0000000KVXQEA4,001i0000007PEmiAAG,New Business,,,,48000,48000,"New Business closed with the Following Products: ABC, DEF",48000,4000,40,4000,4000,TRUE,1440,,TRUE,Closed - Renewed,2011-10-11,2012-01-11,2012-04-11,2012-04-10,2011-10-11,,6,0,40,40
a0Ni0000000KVXUEA4,001i0000007PEmdAAG,New Business,,,a0Ni0000003dXiMEAU,96000,96000,"New Business closed with the Following Products: ABC, DEF,GHI, JKL",96000,8000,40,8000,8000,TRUE,5760,,TRUE,Closed - Renewed,2011-11-14,2013-08-14,2013-11-14,2013-11-13,2011-11-14,,24,0,40,40
a0Ni0000000KVXVEA4,001i0000007PEmmAAG,New Business,,,,75600,75600,"New Business closed with the Following Products: ABC, DEF,GHI",75600,6300,42,6300,6300,TRUE,7560,,TRUE,Open,2011-11-14,2014-02-14,2014-05-14,2014-05-13,2011-11-14,,30,0,42,42
a0Ni0000000KVXWEA4,001i0000007PEn3AAG,New Business,,,,54000,54000,"New Business closed with the Following Products: ABC, DEF",54000,4500,45,4500,4500,TRUE,9720,,TRUE,Open,2011-06-22,2014-03-22,2014-06-22,2014-06-21,2011-06-22,,36,0,45,45
a0Ni0000000KVXaEAO,001i0000007PEnvAAG,New Business,,,a0Ni0000000KVZwEAO,108000,108000,"New Business closed with the Following Products: ABC, DEF,GHI, JKL",120000,10000,50,9000,9000,TRUE,3600,,TRUE,Closed - Renewed,2012-03-22,2012-12-22,2013-03-22,2013-03-21,2012-03-22,,12,0,50,50
a0Ni0000000KVXbEAO,001i0000007PEmuAAG,New Business,,,a0Ni0000003dXilEAE,96000,96000,"New Business closed with the Following Products: ABC, DEF,GHI, JKL",96000,8000,40,8000,8000,TRUE,7200,,TRUE,Closed - Renewed,2011-06-10,2013-09-10,2013-12-10,2013-12-09,2011-06-10,,30,0,40,40
a0Ni0000000KVXYEA4,001i0000007PEnSAAW,New Business,,,,91200,91200,"New Business closed with the Following Products: ABC, DEF,GHI, JKL",91200,7600,38,7600,7600,TRUE,8208,,TRUE,Open,2011-12-12,2014-09-12,2014-12-12,2014-12-11,2011-12-12,,36,0,38,38
a0Ni0000000KVXZEA4,001i0000007PEmzAAG,New Business,,,,84000,84000,"New Business closed with the Following Products: ABC, DEF,GHI, JKL",84000,7000,35,7000,7000,TRUE,7560,,TRUE,Open,2011-06-03,2014-03-03,2014-06-03,2014-06-02,2011-06-03,,36,0,35,35
a0Ni0000000KVXXEA4,001i0000007PEmkAAG,New Business,,,,120000,120000,"New Business closed with the Following Products: ABC, DEF,GHI, JKL",120000,10000,50,10000,10000,TRUE,10800,,TRUE,Open,2010-05-15,2013-02-15,2013-05-15,2013-05-14,2010-05-15,,36,0,60,60
a0Ni0000000KVXcEAO,001i0000007PEnqAAG,New Business,,,,68400,68400,"New Business closed with the Following Products: ABC, DEF,GHI",68400,5700,38,5700,5700,TRUE,4104,,TRUE,Closed - Renewed,2011-12-24,2013-03-24,2013-06-24,2013-06-23,2011-12-24,,18,0,38,38
a0Ni0000000KVXdEAO,001i0000007PEnjAAG,New Business,,,,61200,61200,"New Business closed with the Following Products: ABC, DEF,GHI",61200,5100,34,5100,5100,TRUE,3672,,TRUE,Closed - Renewed,2011-06-10,2012-09-10,2012-12-10,2012-12-09,2011-06-10,,18,0,34,34
a0Ni0000000KVXeEAO,001i0000007PEmHAAW,New Business,,,a0Ni0000003dXjUEAU,24000,24000,New Business closed with the Following Products: ABC,24000,2000,40,2000,2000,TRUE,5760,,TRUE,Closed - Renewed,2011-12-24,2013-09-24,2013-12-24,2013-12-23,2011-12-24,,24,0,40,40
a0Ni0000000KVXfEAO,001i0000007PEneAAG,New Business,,,,79200,79200,"New Business closed with the Following Products: ABC, DEF,GHI, JKL",79200,6600,33,6600,6600,TRUE,7128,,TRUE,Open,2011-12-24,2014-09-24,2014-12-24,2014-12-23,2011-12-24,,36,0,33,33
a0Ni0000000KVXgEAO,001i0000007PEmGAAW,New Business,,,,30000,30000,"New Business closed with the Following Products: ABC, DEF",30000,2500,25,2500,2500,TRUE,5400,,TRUE,Open,2012-09-16,2015-06-16,2015-09-16,2015-09-15,2012-09-16,,36,0,25,25
a0Ni0000000KVXiEAO,001i0000007PEn1AAG,New Business,,,a0Ni0000003dXh9EAE,120000,120000,"New Business closed with the Following Products: ABC, DEF,GHI, JKL",120000,10000,50,10000,10000,TRUE,5400,,TRUE,Closed - Renewed,2012-03-14,2013-06-14,2013-09-14,2013-09-13,2012-03-14,,18,0,50,50
a0Ni0000000KVXhEAO,001i0000007PEnsAAG,New Business,,,,123000,123000,"New Business closed with the Following Products: ABC, DEF",120000,10000,50,10250,10250,TRUE,2160,,TRUE,Open,2012-08-24,2013-09-16,2013-08-25,2013-08-24,2012-08-24,,12.0249,0,200,200
a0Ni0000000KVXjEAO,001i0000007PEmvAAG,New Business,,,a0Ni0000004cKO7EAM,24000,24000,New Business closed with the Following Products: ABC,24000,2000,40,2000,2000,TRUE,1440,,TRUE,Closed - Renewed,2011-10-18,2012-01-18,2012-04-18,2012-04-17,2011-10-18,,6,0,40,40
a0Ni0000000KVXkEAO,001i0000007PEm8AAG,New Business,,,a0Ni0000004cKOlEAM,12000,12000,New Business closed with the Following Products: ABC,12000,1000,20,1000,1000,TRUE,720,,TRUE,Closed - Renewed,2011-11-09,2012-02-09,2012-05-09,2012-05-08,2011-11-09,,6,0,20,20
a0Ni0000000KVXlEAO,001i0000007PEnmAAG,New Business,,,,42000,42000,"New Business closed with the Following Products: ABC, DEF",42000,3500,35,3500,3500,TRUE,1260,,TRUE,Closed - Renewed,2011-11-19,2012-02-19,2012-05-19,2012-05-18,2011-11-19,,6,0,35,35
a0Ni0000000KVXmEAO,001i0000007PEmIAAW,New Business,,,,72000,72000,"New Business closed with the Following Products: ABC, DEF,GHI",72000,6000,40,6000,6000,TRUE,8640,,TRUE,Open,2013-09-17,2013-05-17,2014-09-17,2014-09-16,2013-09-17,,12,0,40,40
a0Ni0000000KVXnEAO,001i0000007PEn6AAG,New Business,,,,105000,105000,"New Business closed with the Following Products: ABC, DEF,GHI, JKL",105000,8750,35,8750,8750,TRUE,6300,,TRUE,Open,2013-03-14,2013-12-14,2014-03-14,2014-03-13,2013-03-14,,12,0,35,35
a0Ni0000000KVXpEAO,001i0000007PEnwAAG,New Business,,,a0Ni0000003dXibEAE,85500,85500,"New Business closed with the Following Products: ABC, DEF,GHI",85500,7125,38,7125,7125,TRUE,6840,,TRUE,Closed - Renewed,2011-12-08,2013-09-08,2013-12-08,2013-12-07,2011-12-08,,24,0,38,38
a0Ni0000000KVXoEAO,001i0000007PEmpAAG,New Business,,,,72000,72000,"New Business closed with the Following Products: ABC, DEF,GHI",72000,6000,40,6000,6000,TRUE,5760,,TRUE,Open,2012-01-15,2013-10-15,2014-01-15,2014-01-14,2012-01-15,,24,0,40,40
a0Ni0000000KVXqEAO,001i0000007PEn7AAG,New Business,,,,42000,42000,"New Business closed with the Following Products: ABC, DEF",42000,3500,35,3500,3500,TRUE,6300,,TRUE,Open,2013-10-17,2014-04-17,2014-10-18,2014-10-17,2013-10-17,,12.0249,0,35,35
a0Ni0000000KVXrEAO,001i0000007PEnDAAW,New Business,,,,36000,36000,"New Business closed with the Following Products: ABC, DEF",36000,3000,30,3000,3000,TRUE,6480,,TRUE,Open,2013-08-16,2014-06-22,2014-02-15,2014-02-14,2013-08-16,,6.0138,0,30,30
a0Ni0000000KVXsEAO,001i0000007PEnOAAW,New Business,,,,30000,30000,"New Business closed with the Following Products: ABC, DEF",30000,2500,25,2500,2500,TRUE,5400,,TRUE,Closed - Renewed,2010-09-17,2013-06-17,2013-09-17,2013-09-16,2010-09-17,,36,0,25,25
a0Ni0000000KVXtEAO,001i0000007PEmoAAG,New Business,,,,96000,96000,"New Business closed with the Following Products: ABC, DEF,GHI, JKL",96000,8000,40,8000,8000,TRUE,4320,,TRUE,Closed - Renewed,2012-01-17,2013-04-17,2013-07-17,2013-07-16,2012-01-17,,18,0,40,40
a0Ni0000000KVXuEAO,001i0000007PEmeAAG,New Business,,,,61200,61200,"New Business closed with the Following Products: ABC, DEF,GHI",61200,5100,34,5100,5100,TRUE,7344,,TRUE,Open,2012-02-05,2014-11-05,2015-02-05,2015-02-04,2012-02-05,,36,0,34,34
a0Ni0000000KVXvEAO,001i0000007PEmqAAG,New Business,,,,67500,67500,"New Business closed with the Following Products: ABC, DEF",67500,5625,45,5625,5625,TRUE,8100,,TRUE,Open,2012-03-13,2013-12-13,2014-03-13,2014-03-12,2012-03-13,,24,0,45,45
a0Ni0000000KVXxEAO,001i0000007PEnCAAW,New Business,,,,24000,24000,New Business closed with the Following Products: ABC,24000,2000,40,2000,2000,TRUE,5760,,TRUE,Closed - Renewed,2011-08-14,2013-05-14,2013-08-14,2013-08-13,2011-08-14,,24,0,40,40
a0Ni0000000KVXyEAO,001i0000007PEnyAAG,New Business,,,,12000,12000,New Business closed with the Following Products: ABC,12000,1000,20,1000,1000,TRUE,1440,,TRUE,Closed - Renewed,2012-02-15,2012-11-15,2013-02-15,2013-02-14,2012-02-15,,12,0,20,20
a0Ni0000000KVXwEAO,001i0000007PEnAAAW,New Business,,,,42000,42000,"New Business closed with the Following Products: ABC, DEF",42000,3500,35,3500,3500,TRUE,5040,,TRUE,Open,2012-02-15,2013-11-15,2014-02-15,2014-02-14,2012-02-15,,24,0,35,35
a0Ni0000000KVY2EAO,001i0000007PEmTAAW,New Business,,,,24000,24000,New Business closed with the Following Products: ABC,24000,2000,40,2000,2000,TRUE,5760,,TRUE,Open,2012-02-15,2013-11-15,2014-02-15,2014-02-14,2012-02-15,,24,0,40,40
a0Ni0000000KVY3EAO,001i0000007PEnWAAW,New Business,,,,18000,18000,New Business closed with the Following Products: ABC,18000,1500,30,1500,1500,TRUE,3240,,TRUE,Closed - Renewed,2011-08-24,2012-11-24,2013-02-24,2013-02-23,2011-08-24,,18,0,30,30
a0Ni0000000KVY4EAO,001i0000007PEmgAAG,New Business,,,a0Ni0000003dXgkEAE,30000,30000,New Business closed with the Following Products: ABC,60000,5000,50,2500,2500,TRUE,5400,,TRUE,Closed - Renewed,2012-03-02,2013-03-01,2013-09-02,2013-09-01,2012-03-02,,18,0,50,50
a0Ni0000000KVXzEAO,001i0000007PEnRAAW,New Business,,,,72000,72000,"New Business closed with the Following Products: ABC, DEF,GHI",72000,6000,40,6000,6000,TRUE,4320,,TRUE,Closed - Renewed,2012-02-15,2013-05-15,2013-08-15,2013-08-14,2012-02-15,,18,0,40,40
a0Ni0000000KVY0EAO,001i0000007PEnJAAW,New Business,,,,136800,136800,"New Business closed with the Following Products: ABC, DEF,GHI",136800,11400,38,11400,11400,TRUE,5472,,TRUE,Closed - Renewed,2012-03-31,2012-12-31,2013-03-31,2013-03-30,2012-03-31,,12,0,38,38
a0Ni0000000KVY1EAO,001i0000007PEnFAAW,New Business,,,,61200,61200,"New Business closed with the Following Products: ABC, DEF,GHI",61200,5100,34,5100,5100,TRUE,4896,,TRUE,Closed - Renewed,2010-12-26,2012-09-26,2012-12-26,2012-12-25,2010-12-26,,24,0,34,34
a0Ni0000000KVY5EAO,001i0000007PEn2AAG,New Business,,,,96000,96000,"New Business closed with the Following Products: ABC, DEF,GHI, JKL",96000,8000,40,8000,8000,TRUE,2880,,TRUE,Closed - Renewed,2012-03-12,2012-12-12,2013-03-12,2013-03-11,2012-03-12,,12,0,40,40
a0Ni0000000KVY6EAO,001i0000007PEnQAAW,New Business,,,,75600,75600,"New Business closed with the Following Products: ABC, DEF,GHI",75600,6300,42,6300,6300,TRUE,6048,,TRUE,Open,2012-03-12,2013-12-12,2014-03-12,2014-03-11,2012-03-12,,24,0,42,42
a0Ni0000000KVY7EAO,001i0000007PEmMAAW,New Business,,,a0Ni0000003dXguEAE,54000,54000,"New Business closed with the Following Products: ABC, DEF,GHI",54000,4500,30,4500,4500,TRUE,4320,,TRUE,Closed - Renewed,2011-09-09,2013-06-09,2013-09-09,2013-09-08,2011-09-09,,24,0,30,30
a0Ni0000000KVY8EAO,001i0000007PEnVAAW,New Business,,,a0Ni0000003dXh4EAE,42000,42000,"New Business closed with the Following Products: ABC, DEF",42000,3500,35,3500,3500,TRUE,3780,,TRUE,Closed - Renewed,2012-03-12,2013-06-12,2013-09-12,2013-09-11,2012-03-12,,18,0,35,35
a0Ni0000000KVY9EAO,001i0000007PEmbAAG,New Business,,,,120000,120000,"New Business closed with the Following Products: ABC, DEF,GHI, JKL",120000,10000,50,10000,10000,TRUE,9000,,TRUE,Open,2013-09-24,2013-06-08,2014-05-18,2014-05-17,2013-09-24,,7.7538,0,50,50
a0Ni0000000KVYAEA4,001i0000007PEmhAAG,New Business,,,,91200,91200,"New Business closed with the Following Products: ABC, DEF,GHI, JKL",91200,7600,38,7600,7600,TRUE,6840,,TRUE,Open,2012-03-20,2014-06-20,2014-09-20,2014-09-19,2012-03-20,,30,0,38,38
