JBCXM__OrderNumber__r.TransHeader_ExternalID__c,JBCXM__TRANSACTIONLINES__r.TransTypes_ExternalID__c,JBCXM__ASV__C,JBCXM__BOOKING__C,JBCXM__ONETIMEREVENUE__C,JBCXM__MRR__C,JBCXM__NEXTRENEWALDATE__C,JBCXM__DATE__C,JBCXM__REVRECENDDATE__C,JBCXM__REVRECSTARTDATE__C,JBCXM__USERS__C
a0Ni0000000KVYUEA4,a0Ri0000000I3XSEA0,0,4536,4536,0,2014-02-14,2012-08-14,2014-02-13,2012-08-14,0
a0Ni0000000KVYUEA4,a0Ri0000000I3XVEA0,75600,6300,0,6300,2014-02-14,2012-08-14,2014-02-13,2012-08-14,0
a0Ni0000000KVX6EAO,a0Ri0000000I3XTEA0,0,25,0,0,2014-01-15,2013-07-15,2014-01-14,2013-07-15,25
a0Ni0000000KVX6EAO,a0Ri0000000I3XSEA0,0,900,900,0,2014-01-15,2013-07-15,2014-01-14,2013-07-15,0
a0Ni0000000KVX6EAO,a0Ri0000000I3XVEA0,15000,1250,0,1250,2014-01-15,2013-07-15,2014-01-14,2013-07-15,0
a0Ni0000000KVX2EAO,a0Ri0000000I3XTEA0,0,38,0,0,2012-11-22,2011-05-22,2012-11-21,2011-05-22,38
a0Ni0000000KVX2EAO,a0Ri0000000I3XSEA0,0,4104,4104,0,2012-11-22,2011-05-22,2012-11-21,2011-05-22,0
a0Ni0000000KVX2EAO,a0Ri0000000I3XVEA0,91200,7600,0,7600,2012-11-22,2011-05-22,2012-11-21,2011-05-22,0
a0Ni0000000KVYIEA4,a0Ri0000000I3XTEA0,0,38,0,0,2015-05-18,2012-05-18,2015-05-17,2012-05-18,38
a0Ni0000000KVWvEAO,a0Ri0000000I3XTEA0,0,10,0,0,2014-07-12,2013-12-02,2014-07-11,2013-12-02,10
a0Ni0000000KVWvEAO,a0Ri0000000I3XSEA0,0,0,0,0,2014-07-12,2013-12-02,2014-07-11,2013-12-02,0
