"ID","ISDELETED","NAME","CREATEDDATE","CREATEDBYID","LASTMODIFIEDDATE","LASTMODIFIEDBYID","SYSTEMMODSTAMP","JBCXM__ACCOUNT__C","JBCXM__ASVTOTAL__C","JBCXM__ASV__C","JBCXM__ASSOCIATEDOBJECTDISPLAYVALUE__C","JBCXM__ASSOCIATEDOBJECTRECORDID__C","JBCXM__ASSOCIATEDOBJECTRECORDVALUE__C","JBCXM__BOOKINGNUMBER__C","JBCXM__CHURNREASON__C","JBCXM__COMMENT__C","JBCXM__CUSTOMERNAME__C","JBCXM__DATE__C","JBCXM__FCSTASV__C","JBCXM__FCSTBOOKINGDATE__C","JBCXM__FCSTMRR__C","JBCXM__FCSTUSER__C","JBCXM__MRRTOTAL__C","JBCXM__MRR__C","JBCXM__MAIN__C","JBCXM__NAME__C","JBCXM__NEXTRENEWALDATE__C","JBCXM__ONETIMEREVENUE__C","JBCXM__OPPORTUNITY__C","JBCXM__ORDERTYPE__C","JBCXM__ORIGINALCONTRACT__C","JBCXM__PARENTTRANSACTION__C","JBCXM__RENEWABLE__C","JBCXM__RENEWALOPPORTUNITY__C","JBCXM__RENEWALSTATUS__C","JBCXM__RENEWALTRANSACTION__C","JBCXM__REVRECENDDATE__C","JBCXM__REVRECSTARTDATE__C","JBCXM__SALESREP__C","JBCXM__TERM_FRACTIONAL__C","JBCXM__TERM__C","JBCXM__USERSTOTAL__C","JBCXM__USERS__C","DATA_LOAD_ID__C"
"a0Ni0000000KVWwEAO","false","Ord-000003","2013-04-18T12:56:00.000Z","005i0000000aHqzAAE","2014-01-23T19:36:10.000Z","005i0000000aHqzAAE","2014-01-23T19:36:10.000Z","001i0000007PEmlAAG","18000.0","18000.0","","","","28","","New Business closed with the Following Products: ABC","Volga Boats","2013-04-05","18000.0","2011-07-05","1500.0","30.0","1500.0","1500.0","true","","2014-10-05","1080.0","","a0Di0000000Rx6lEAC","","","true","","Open","","2014-10-04","2013-04-05","","18.0","0.0","30.0","30.0","a0Ni0000000Ap4LEAS"
"a0Ni0000000KVWxEAO","false","Ord-000004","2013-04-18T12:56:00.000Z","005i0000000aHqzAAE","2013-08-16T16:34:27.000Z","005i0000000aHsRAAU","2013-08-16T16:34:27.000Z","001i0000007PEn4AAG","12000.0","12000.0","","","","25","","New Business closed with the Following Products: ABC","TDA Industries Inc","2011-03-18","12000.0","2011-12-18","1000.0","20.0","1000.0","1000.0","true","","2012-03-18","1440.0","","a0Di0000000Rx6lEAC","","","true","","Open","","2012-03-17","2011-03-18","","12.0","0.0","20.0","20.0","a0Ni0000000Ap4MEAS"
"a0Ni0000000KVWyEAO","false","Ord-000005","2013-04-18T12:56:00.000Z","005i0000000aHqzAAE","2013-08-16T16:34:27.000Z","005i0000000aHsRAAU","2013-08-16T16:34:27.000Z","001i0000007PEnEAAW","12000.0","12000.0","","","","60","","New Business closed with the Following Products: ABC","Safeway Plumbing & Heating Inc","2011-09-14","12000.0","2011-12-14","1000.0","20.0","1000.0","1000.0","true","","2012-03-14","720.0","","a0Di0000000Rx6lEAC","","","true","","Open","","2012-03-13","2011-09-14","","6.0","0.0","20.0","20.0","a0Ni0000000Ap4NEAS"
"a0Ni0000000KVWtEAO","false","Ord-000000","2013-04-18T12:56:00.000Z","005i0000000aHqzAAE","2013-11-08T21:00:37.000Z","005i0000000aHqzAAE","2013-11-08T21:00:37.000Z","001i0000007PElvAAG","60000.0","60000.0","","","","","","","GenePoint","2013-08-22","60000.0","2013-09-22","5000.0","40.0","5000.0","5000.0","true","","2014-08-22","30000.0","","a0Di0000000Rx6lEAC","","","true","","Open","","2014-08-21","2013-08-22","","12.0","0.0","40.0","40.0","a0Ni0000000Ap4IEAS"
"a0Ni0000000KVWuEAO","false","Ord-000001","2013-04-18T12:56:00.000Z","005i0000000aHqzAAE","2013-08-16T16:34:27.000Z","005i0000000aHsRAAU","2013-08-16T16:34:27.000Z","001i0000007PElzAAG","60000.0","60000.0","","","","","","Initial subscription for pilot roll out.","Burlington Textiles Corp of America","2013-02-01","60000.0","2013-11-01","5000.0","15.0","5000.0","5000.0","true","","2014-02-01","22000.0","","a0Di0000000Rx6lEAC","","","true","","Open","","2014-01-31","2013-02-01","","12.0","0.0","15.0","15.0","a0Ni0000000Ap4JEAS"
"a0Ni0000000KVWvEAO","false","Ord-000002","2013-04-18T12:56:00.000Z","005i0000000aHqzAAE","2013-11-15T22:52:51.000Z","005i0000000aHqzAAE","2013-11-15T22:52:51.000Z","001i0000007PEm0AAG","60000.0","60000.0","","","","","","","Pyramid Construction Inc.","2013-12-02","60000.0","2013-09-22","5000.0","10.0","5000.0","5000.0","true","","2014-07-12","0.0","","a0Di0000000Rx6lEAC","","","true","","Open","","2014-07-11","2013-12-02","","7.2924","0.0","10.0","10.0","a0Ni0000000Ap4KEAS"
"a0Ni0000000KVWzEAO","false","Ord-000006","2013-04-18T12:56:00.000Z","005i0000000aHqzAAE","2013-08-16T16:34:27.000Z","005i0000000aHsRAAU","2013-08-16T16:34:27.000Z","001i0000007PEnGAAW","48000.0","48000.0","","","","23","","New Business closed with the Following Products: ABC, DEF","Ralston Inc.","2011-02-22","48000.0","2012-05-22","4000.0","40.0","4000.0","4000.0","true","","2012-08-22","4320.0","","a0Di0000000Rx6lEAC","","","true","","Open","","2012-08-21","2011-02-22","","18.0","0.0","40.0","40.0","a0Ni0000000Ap4OEAS"
"a0Ni0000000KVX0EAO","false","Ord-000007","2013-04-18T12:56:00.000Z","005i0000000aHqzAAE","2013-08-16T16:34:27.000Z","005i0000000aHsRAAU","2013-08-16T16:34:27.000Z","001i0000007PEmEAAW","42000.0","42000.0","","","","14","","New Business closed with the Following Products: ABC, DEF","Lafferty RF & Co Inc","2010-10-21","42000.0","2011-07-21","3500.0","35.0","3500.0","3500.0","true","","2011-10-21","2520.0","","a0Di0000000Rx6lEAC","","","true","","Closed - Renewed","","2011-10-20","2010-10-21","","12.0","0.0","35.0","35.0","a0Ni0000000Ap4PEAS"
"a0Ni0000000KVX1EAO","false","Ord-000008","2013-04-18T12:56:00.000Z","005i0000000aHqzAAE","2013-08-16T16:34:27.000Z","005i0000000aHsRAAU","2013-08-16T16:34:27.000Z","001i0000007PEmFAAW","24000.0","24000.0","","","","1","","New Business closed with the Following Products: ABC","Fedder RP Corp","2010-04-02","24000.0","2012-07-02","2000.0","40.0","2000.0","2000.0","true","","2012-10-02","7200.0","","a0Di0000000Rx6lEAC","","","true","","Open","","2012-10-01","2010-04-02","","30.0","0.0","40.0","40.0","a0Ni0000000Ap4QEAS"
"a0Ni0000000KVXAEA4","false","Ord-000017","2013-04-18T12:56:00.000Z","005i0000000aHqzAAE","2013-08-16T16:34:27.000Z","005i0000000aHsRAAU","2013-08-16T16:34:27.000Z","001i0000007PEmaAAG","18000.0","18000.0","","","","16","","New Business closed with the Following Products: ABC","Mall Side Sports","2010-11-30","18000.0","2012-02-28","1500.0","30.0","1500.0","1500.0","true","","2012-05-28","3240.0","","a0Di0000000Rx6lEAC","","","true","","Open","","2012-05-27","2010-11-30","","17.8731","0.0","30.0","30.0","a0Ni0000000Ap4aEAC"
