JBCXM__Account__r.Data_ExternalId__c,Name,JBCXM__Date__c,Page_Visits__c,Page_Views__c,No_of_Report_Run__c,Files_Downloaded__c,Emails_Sent_Count__c,No_of_Campaigns__c,Active_Users__c,DB_Size__c,Leads__c
Adoption Test - Account 1,ACCOUNTLEVEL,-13,3,42,155,39,156,6,382,9443,3270
Adoption Test - Account 1,ACCOUNTLEVEL,-12,32,15,104,9,155,11,243,4734,17427
Adoption Test - Account 1,ACCOUNTLEVEL,-11,74,49,114,112,110,4,974,2739,18109
Adoption Test - Account 1,ACCOUNTLEVEL,-10,80,17,138,40,200,1,970,4834,12120
Adoption Test - Account 1,ACCOUNTLEVEL,-9,86,32,130,120,155,13,780,9749,18781
Adoption Test - Account 1,ACCOUNTLEVEL,-8,81,39,163,107,181,3,729,6165,18198
Adoption Test - Account 1,ACCOUNTLEVEL,-7,88,37,78,31,118,45,818,4953,18635
Adoption Test - Account 1,ACCOUNTLEVEL,-6,90,22,82,125,150,10,155,5641,9241
Adoption Test - Account 1,ACCOUNTLEVEL,-5,48,41,87,54,196,54,914,4645,8128
Adoption Test - Account 1,ACCOUNTLEVEL,-4,27,49,70,76,197,11,462,7403,15263
Adoption Test - Account 1,ACCOUNTLEVEL,-3,81,30,59,139,236,42,724,6432,544
Adoption Test - Account 1,ACCOUNTLEVEL,-2,50,40,65,38,152,25,979,5936,475
Adoption Test - Account 1,ACCOUNTLEVEL,-1,91,47,149,128,221,10,973,3495,17171
Adoption Test - Account 1,ACCOUNTLEVEL,0,43,48,184,102,237,60,840,2536,6481
Adoption Test - Account 10,ACCOUNTLEVEL,-13,52,14,178,126,203,11,149,5771,10403
Adoption Test - Account 10,ACCOUNTLEVEL,-12,81,37,169,54,183,20,89,3490,4085
Adoption Test - Account 10,ACCOUNTLEVEL,-11,36,48,102,22,228,59,675,1622,16858
Adoption Test - Account 10,ACCOUNTLEVEL,-10,59,17,72,126,132,1,927,9373,10232
Adoption Test - Account 10,ACCOUNTLEVEL,-9,72,28,195,81,168,47,122,7152,14384
Adoption Test - Account 10,ACCOUNTLEVEL,-8,73,45,63,12,222,20,643,6398,5583
Adoption Test - Account 10,ACCOUNTLEVEL,-7,68,30,110,123,213,58,615,5159,8999
Adoption Test - Account 10,ACCOUNTLEVEL,-6,67,25,54,13,124,5,979,6500,17674
Adoption Test - Account 10,ACCOUNTLEVEL,-5,35,25,184,18,203,5,454,2761,12731
Adoption Test - Account 10,ACCOUNTLEVEL,-4,47,41,111,40,105,4,369,7079,19451
Adoption Test - Account 10,ACCOUNTLEVEL,-3,28,20,141,22,183,35,957,7368,8356
Adoption Test - Account 10,ACCOUNTLEVEL,-2,57,26,78,58,214,7,950,4602,15572
Adoption Test - Account 10,ACCOUNTLEVEL,-1,65,33,55,22,211,14,345,5799,7852
Adoption Test - Account 10,ACCOUNTLEVEL,0,72,45,110,129,149,34,216,614,2692
Adoption Test - Account 11,ACCOUNTLEVEL,-13,47,10,123,70,134,8,192,731,4386
Adoption Test - Account 11,ACCOUNTLEVEL,-12,21,39,181,142,119,26,529,7551,19306
Adoption Test - Account 11,ACCOUNTLEVEL,-11,92,11,186,24,150,7,914,722,11079
Adoption Test - Account 11,ACCOUNTLEVEL,-10,86,22,154,52,108,54,137,3323,17679
Adoption Test - Account 11,ACCOUNTLEVEL,-9,93,48,198,70,189,45,651,9045,14786
Adoption Test - Account 11,ACCOUNTLEVEL,-8,68,42,161,105,239,48,518,7576,5669
Adoption Test - Account 11,ACCOUNTLEVEL,-7,35,42,138,13,228,32,828,412,10472
Adoption Test - Account 11,ACCOUNTLEVEL,-6,90,45,93,26,179,19,882,4034,18461
Adoption Test - Account 11,ACCOUNTLEVEL,-5,74,18,70,2,247,56,854,9313,5734
Adoption Test - Account 11,ACCOUNTLEVEL,-4,47,36,73,126,183,38,911,9960,6687
Adoption Test - Account 11,ACCOUNTLEVEL,-3,62,36,178,96,152,52,315,416,11665
Adoption Test - Account 11,ACCOUNTLEVEL,-2,69,49,168,81,136,6,566,8575,1421
