JBCXM__Account__r.Data_ExternalId__c,Name,JBCXM__Date__c,Page_Visits__c,Page_Views__c,No_of_Report_Run__c,Files_Downloaded__c,Emails_Sent_Count__c,No_of_Campaigns__c,Active_Users__c,DB_Size__c,Leads__c
Adoption Test - Account 1,ACCOUNTLEVEL,-27,56,14,135,34,229,18,566,2989,9208
Adoption Test - Account 2,ACCOUNTLEVEL,-27,92,50,160,16,139,23,100,4468,7450
Adoption Test - Account 3,ACCOUNTLEVEL,-27,18,34,78,107,180,38,311,25,17712
Adoption Test - Account 4,ACCOUNTLEVEL,-27,84,30,92,21,236,36,501,1487,10257
Adoption Test - Account 5,ACCOUNTLEVEL,-27,52,12,170,58,161,22,731,1702,15333
Adoption Test - Account 6,ACCOUNTLEVEL,-27,92,26,57,79,225,54,913,2345,9833
Adoption Test - Account 7,ACCOUNTLEVEL,-27,14,39,70,25,126,21,103,9171,6927
Adoption Test - Account 8,ACCOUNTLEVEL,-27,70,31,97,134,240,15,450,6309,3883
Adoption Test - Account 9,ACCOUNTLEVEL,-27,89,47,136,118,229,31,277,232,19606
Adoption Test - Account 10,ACCOUNTLEVEL,-27,49,37,104,16,222,1,857,388,8949
Adoption Test - Account 11,ACCOUNTLEVEL,-27,99,10,164,15,135,34,96,8883,6315
Adoption Test - Account 12,ACCOUNTLEVEL,-27,69,40,197,42,214,18,207,8926,17703
Adoption Test - Account 13,ACCOUNTLEVEL,-27,16,11,93,73,110,18,38,7394,13850
Adoption Test - Account 14,ACCOUNTLEVEL,-27,15,34,137,121,177,2,610,6742,19990
Adoption Test - Account 15,ACCOUNTLEVEL,-27,4,35,158,130,134,55,457,8748,2649
Adoption Test - Account 16,ACCOUNTLEVEL,-27,76,46,69,13,231,13,943,2051,5359
Adoption Test - Account 17,ACCOUNTLEVEL,-27,76,12,127,34,124,35,965,6864,15886
Adoption Test - Account 18,ACCOUNTLEVEL,-27,23,32,121,76,129,13,2,3172,297
Adoption Test - Account 19,ACCOUNTLEVEL,-27,26,21,165,59,250,3,228,4264,1584
Adoption Test - Account 20,ACCOUNTLEVEL,-27,13,31,92,27,100,13,153,906,254
Adoption Test - Account 21,ACCOUNTLEVEL,-27,44,12,124,105,236,59,401,3966,1391
Adoption Test - Account 22,ACCOUNTLEVEL,-27,22,10,84,0,228,59,430,5327,17332
Adoption Test - Account 23,ACCOUNTLEVEL,-27,65,40,53,41,232,15,447,895,5505
Adoption Test - Account 24,ACCOUNTLEVEL,-27,77,11,176,40,137,37,740,2442,2288
Adoption Test - Account 25,ACCOUNTLEVEL,-27,25,38,106,111,187,23,608,7989,341
Adoption Test - Account 26,ACCOUNTLEVEL,-27,69,33,80,137,124,34,675,2022,18123
Adoption Test - Account 27,ACCOUNTLEVEL,-27,96,31,111,146,117,19,161,5562,10462
Adoption Test - Account 28,ACCOUNTLEVEL,-27,55,43,171,56,104,8,187,3050,707
Adoption Test - Account 29,ACCOUNTLEVEL,-27,34,45,183,109,136,56,565,5241,3083
Adoption Test - Account 30,ACCOUNTLEVEL,-27,41,38,116,29,120,5,830,2651,1206
Adoption Test - Account 31,ACCOUNTLEVEL,-27,31,22,87,47,191,59,48,3548,12252
Adoption Test - Account 32,ACCOUNTLEVEL,-27,16,44,62,81,239,16,628,5307,15076
Adoption Test - Account 33,ACCOUNTLEVEL,-27,69,15,169,61,187,54,774,6717,18571
Adoption Test - Account 34,ACCOUNTLEVEL,-27,37,39,158,113,219,48,615,2816,1126
Adoption Test - Account 35,ACCOUNTLEVEL,-27,81,36,198,123,115,41,598,7188,12583
Adoption Test - Account 36,ACCOUNTLEVEL,-27,19,20,54,78,175,38,532,4235,13420
Adoption Test - Account 37,ACCOUNTLEVEL,-27,57,26,92,145,153,41,715,4529,13214
Adoption Test - Account 38,ACCOUNTLEVEL,-27,17,13,53,98,213,20,746,192,15171
Adoption Test - Account 39,ACCOUNTLEVEL,-27,26,32,129,61,186,6,446,2769,14260
Adoption Test - Account 40,ACCOUNTLEVEL,-27,100,24,76,5,160,33,977,6138,18511
Adoption Test - Account 41,ACCOUNTLEVEL,-27,66,28,112,107,195,43,835,2045,7440
Adoption Test - Account 42,ACCOUNTLEVEL,-27,91,29,104,143,152,7,778,3611,2845
Adoption Test - Account 43,ACCOUNTLEVEL,-27,22,42,150,106,177,15,716,2881,18873
Adoption Test - Account 44,ACCOUNTLEVEL,-27,15,16,109,14,224,58,487,685,17123
Adoption Test - Account 45,ACCOUNTLEVEL,-27,17,20,188,42,205,8,187,1315,17377
Adoption Test - Account 46,ACCOUNTLEVEL,-27,61,35,58,14,248,57,618,7141,14081
Adoption Test - Account 47,ACCOUNTLEVEL,-27,38,46,127,113,245,11,893,5822,13195
Adoption Test - Account 48,ACCOUNTLEVEL,-27,49,18,120,40,128,18,473,7526,3088
Adoption Test - Account 49,ACCOUNTLEVEL,-27,19,39,168,20,219,39,545,3222,9896
Adoption Test - Account 50,ACCOUNTLEVEL,-27,91,34,158,30,177,45,118,2207,14515
Adoption Test - Account 51,ACCOUNTLEVEL,-27,55,26,145,95,210,11,307,848,1706
Adoption Test - Account 52,ACCOUNTLEVEL,-27,12,21,134,26,221,5,249,5778,10206
Adoption Test - Account 53,ACCOUNTLEVEL,-27,2,49,188,83,182,29,802,7974,12300
Adoption Test - Account 54,ACCOUNTLEVEL,-27,88,38,132,140,109,29,974,4326,9985
Adoption Test - Account 55,ACCOUNTLEVEL,-27,98,42,135,119,198,34,354,3746,2663
Adoption Test - Account 56,ACCOUNTLEVEL,-27,51,10,85,75,146,10,523,5559,2787
Adoption Test - Account 57,ACCOUNTLEVEL,-27,21,31,112,20,173,21,75,1012,17000
Adoption Test - Account 58,ACCOUNTLEVEL,-27,32,42,110,81,184,16,696,9239,4494
Adoption Test - Account 59,ACCOUNTLEVEL,-27,70,20,79,38,114,17,618,8624,4634
Adoption Test - Account 60,ACCOUNTLEVEL,-27,64,48,78,128,155,33,300,5068,3501
Adoption Test - Account 61,ACCOUNTLEVEL,-27,29,14,148,75,220,59,827,6750,2298
Adoption Test - Account 62,ACCOUNTLEVEL,-27,15,13,60,108,115,1,941,8734,18554
Adoption Test - Account 63,ACCOUNTLEVEL,-27,94,41,116,16,105,42,423,7285,12404
Adoption Test - Account 64,ACCOUNTLEVEL,-27,8,23,142,77,190,28,535,6072,17784
Adoption Test - Account 65,ACCOUNTLEVEL,-27,0,19,91,45,242,6,927,9365,12584
Adoption Test - Account 66,ACCOUNTLEVEL,-27,71,10,183,52,112,57,83,864,7332
Adoption Test - Account 67,ACCOUNTLEVEL,-27,39,14,139,38,247,12,366,5703,4295
Adoption Test - Account 68,ACCOUNTLEVEL,-27,4,39,159,81,124,21,704,5290,12514
Adoption Test - Account 69,ACCOUNTLEVEL,-27,25,21,197,107,202,47,375,4471,4444
Adoption Test - Account 70,ACCOUNTLEVEL,-27,83,38,121,144,187,42,641,2134,6851
Adoption Test - Account 71,ACCOUNTLEVEL,-27,27,39,182,80,133,32,187,5735,10278
Adoption Test - Account 72,ACCOUNTLEVEL,-27,3,18,92,21,193,15,512,2674,3109
Adoption Test - Account 73,ACCOUNTLEVEL,-27,72,21,61,33,101,21,396,3326,9453
Adoption Test - Account 74,ACCOUNTLEVEL,-27,88,11,63,132,125,45,912,4356,831
Adoption Test - Account 75,ACCOUNTLEVEL,-27,62,27,103,30,226,33,329,8712,13855
Adoption Test - Account 76,ACCOUNTLEVEL,-27,25,37,180,49,226,15,378,4840,13503
Adoption Test - Account 77,ACCOUNTLEVEL,-27,89,27,146,79,144,55,896,7569,1922
Adoption Test - Account 78,ACCOUNTLEVEL,-27,65,50,142,52,247,29,241,1210,10687
Adoption Test - Account 79,ACCOUNTLEVEL,-27,87,22,117,127,223,50,103,3036,12762
Adoption Test - Account 80,ACCOUNTLEVEL,-27,5,24,97,46,106,28,831,104,14403
Adoption Test - Account 81,ACCOUNTLEVEL,-27,78,13,178,75,241,22,812,723,17213
Adoption Test - Account 82,ACCOUNTLEVEL,-27,18,13,116,129,157,8,416,1858,18975
Adoption Test - Account 83,ACCOUNTLEVEL,-27,44,42,121,63,229,54,130,2881,13958
Adoption Test - Account 84,ACCOUNTLEVEL,-27,42,49,103,114,119,6,160,5893,18360
Adoption Test - Account 85,ACCOUNTLEVEL,-27,16,25,106,134,206,18,572,2798,6741
Adoption Test - Account 86,ACCOUNTLEVEL,-27,91,30,188,33,197,49,103,3522,16147
Adoption Test - Account 87,ACCOUNTLEVEL,-27,34,49,191,119,248,36,15,4778,1540
Adoption Test - Account 88,ACCOUNTLEVEL,-27,16,14,89,30,119,39,16,7336,16644
Adoption Test - Account 89,ACCOUNTLEVEL,-27,16,15,95,74,137,23,620,8474,10568
Adoption Test - Account 90,ACCOUNTLEVEL,-27,72,10,98,35,194,50,847,9043,12424
Adoption Test - Account 91,ACCOUNTLEVEL,-27,64,27,63,24,172,20,378,4280,4847
Adoption Test - Account 92,ACCOUNTLEVEL,-27,22,39,190,53,185,38,529,2042,19309
Adoption Test - Account 93,ACCOUNTLEVEL,-27,26,23,65,128,105,23,700,7243,15286
Adoption Test - Account 94,ACCOUNTLEVEL,-27,12,15,162,136,187,39,148,4037,19250
Adoption Test - Account 95,ACCOUNTLEVEL,-27,49,28,69,38,199,54,220,8264,9108
Adoption Test - Account 96,ACCOUNTLEVEL,-27,43,48,68,117,103,51,181,9659,5809
Adoption Test - Account 97,ACCOUNTLEVEL,-27,58,50,80,147,127,2,727,1465,7462
Adoption Test - Account 98,ACCOUNTLEVEL,-27,39,45,87,87,120,32,843,1950,18541
Adoption Test - Account 99,ACCOUNTLEVEL,-27,34,47,63,57,193,13,303,229,1314
Adoption Test - Account 100,ACCOUNTLEVEL,-27,75,30,65,112,128,14,81,6941,2721
Adoption Test - Account 101,ACCOUNTLEVEL,-27,7,30,122,134,158,27,267,5573,18100
Adoption Test - Account 102,ACCOUNTLEVEL,-27,28,36,153,145,128,10,954,1071,4083
Adoption Test - Account 103,ACCOUNTLEVEL,-27,69,27,85,67,224,46,515,9979,4094
Adoption Test - Account 104,ACCOUNTLEVEL,-27,39,46,105,53,135,7,351,5977,1150
Adoption Test - Account 105,ACCOUNTLEVEL,-27,50,30,92,38,191,55,307,7497,19051
Adoption Test - Account 106,ACCOUNTLEVEL,-27,52,41,130,103,121,48,202,4712,18064
Adoption Test - Account 107,ACCOUNTLEVEL,-27,28,45,105,22,105,24,973,2092,5457
Adoption Test - Account 108,ACCOUNTLEVEL,-27,37,35,90,82,226,34,538,6671,19426
Adoption Test - Account 109,ACCOUNTLEVEL,-27,54,17,118,18,129,26,909,7495,16237
Adoption Test - Account 110,ACCOUNTLEVEL,-27,5,24,67,136,134,43,509,3841,7229
Adoption Test - Account 111,ACCOUNTLEVEL,-27,86,20,174,126,123,26,835,1010,12955
Adoption Test - Account 112,ACCOUNTLEVEL,-27,94,44,83,37,103,40,444,7430,16482
Adoption Test - Account 113,ACCOUNTLEVEL,-27,62,47,115,134,107,25,284,5116,15529
Adoption Test - Account 114,ACCOUNTLEVEL,-27,78,49,178,9,237,2,508,3908,3970
Adoption Test - Account 115,ACCOUNTLEVEL,-27,46,32,106,108,172,38,143,3124,2245
Adoption Test - Account 116,ACCOUNTLEVEL,-27,34,31,79,85,149,2,982,5602,13790
Adoption Test - Account 117,ACCOUNTLEVEL,-27,27,31,156,137,136,43,548,4131,9439
Adoption Test - Account 118,ACCOUNTLEVEL,-27,23,26,135,129,236,12,696,3547,5907
Adoption Test - Account 1,ACCOUNTLEVEL,-26,79,30,135,32,184,56,758,3385,8458
Adoption Test - Account 2,ACCOUNTLEVEL,-26,26,15,126,26,171,12,264,8506,8018
Adoption Test - Account 3,ACCOUNTLEVEL,-26,56,47,80,38,248,43,567,367,9842
Adoption Test - Account 4,ACCOUNTLEVEL,-26,31,36,87,31,236,17,551,2462,16451
Adoption Test - Account 5,ACCOUNTLEVEL,-26,3,44,65,8,115,15,37,8852,1629
Adoption Test - Account 6,ACCOUNTLEVEL,-26,71,24,165,113,106,54,630,2399,1828
Adoption Test - Account 7,ACCOUNTLEVEL,-26,23,12,98,102,174,51,53,8880,8065
Adoption Test - Account 8,ACCOUNTLEVEL,-26,8,30,75,140,180,42,740,7626,17439
Adoption Test - Account 9,ACCOUNTLEVEL,-26,76,33,156,48,138,15,14,7286,11156
Adoption Test - Account 10,ACCOUNTLEVEL,-26,41,11,155,82,211,58,961,4282,11775
Adoption Test - Account 11,ACCOUNTLEVEL,-26,60,20,103,69,160,15,174,9834,14665
Adoption Test - Account 12,ACCOUNTLEVEL,-26,41,20,88,79,192,36,80,8710,18284
Adoption Test - Account 13,ACCOUNTLEVEL,-26,71,36,108,113,132,10,144,334,18042
Adoption Test - Account 14,ACCOUNTLEVEL,-26,85,46,159,57,126,38,994,2454,2037
Adoption Test - Account 15,ACCOUNTLEVEL,-26,47,30,88,138,125,9,428,4158,17611
Adoption Test - Account 16,ACCOUNTLEVEL,-26,8,16,148,128,140,54,453,8505,9975
Adoption Test - Account 17,ACCOUNTLEVEL,-26,35,27,162,124,111,58,811,8135,12911
Adoption Test - Account 18,ACCOUNTLEVEL,-26,47,49,185,35,155,29,357,5757,3458
Adoption Test - Account 19,ACCOUNTLEVEL,-26,90,49,150,67,217,44,171,3055,2154
Adoption Test - Account 20,ACCOUNTLEVEL,-26,27,41,193,149,113,36,836,9836,11969
Adoption Test - Account 21,ACCOUNTLEVEL,-26,89,44,58,29,246,8,9,358,19801
Adoption Test - Account 22,ACCOUNTLEVEL,-26,40,35,71,6,142,56,855,7736,14834
Adoption Test - Account 23,ACCOUNTLEVEL,-26,66,37,67,1,111,30,281,83,1005
Adoption Test - Account 24,ACCOUNTLEVEL,-26,63,35,61,5,154,49,786,7076,13161
Adoption Test - Account 25,ACCOUNTLEVEL,-26,29,38,185,88,113,24,643,5202,19802
Adoption Test - Account 26,ACCOUNTLEVEL,-26,88,48,181,32,237,10,142,4663,3788
Adoption Test - Account 27,ACCOUNTLEVEL,-26,39,34,67,24,232,30,952,3214,16275
Adoption Test - Account 28,ACCOUNTLEVEL,-26,12,50,50,65,206,35,644,4235,4110
Adoption Test - Account 29,ACCOUNTLEVEL,-26,47,18,185,69,213,8,413,4839,7659
Adoption Test - Account 30,ACCOUNTLEVEL,-26,70,30,73,74,242,32,506,9037,12934
Adoption Test - Account 31,ACCOUNTLEVEL,-26,46,20,185,91,205,8,227,9516,14369
Adoption Test - Account 32,ACCOUNTLEVEL,-26,79,14,181,13,171,27,585,9901,2230
Adoption Test - Account 33,ACCOUNTLEVEL,-26,5,24,93,21,245,48,876,7190,2312
Adoption Test - Account 34,ACCOUNTLEVEL,-26,60,25,175,95,132,13,783,9533,17207
Adoption Test - Account 35,ACCOUNTLEVEL,-26,73,16,120,61,245,29,833,3986,15976
Adoption Test - Account 36,ACCOUNTLEVEL,-26,71,12,179,93,214,39,564,6804,19004
Adoption Test - Account 37,ACCOUNTLEVEL,-26,67,17,177,20,229,40,743,1855,16438
Adoption Test - Account 38,ACCOUNTLEVEL,-26,39,21,168,35,216,48,729,275,624
Adoption Test - Account 39,ACCOUNTLEVEL,-26,26,42,192,1,162,34,285,5309,6643
Adoption Test - Account 40,ACCOUNTLEVEL,-26,12,13,145,10,129,9,388,658,13861
Adoption Test - Account 41,ACCOUNTLEVEL,-26,64,17,103,1,227,1,774,392,12530
Adoption Test - Account 42,ACCOUNTLEVEL,-26,15,21,129,72,132,39,659,5457,3258
Adoption Test - Account 43,ACCOUNTLEVEL,-26,89,41,105,59,164,45,19,8167,17509
Adoption Test - Account 44,ACCOUNTLEVEL,-26,73,48,95,59,227,54,54,4758,5064
Adoption Test - Account 45,ACCOUNTLEVEL,-26,53,20,61,11,194,25,837,2020,11307
Adoption Test - Account 46,ACCOUNTLEVEL,-26,8,22,69,139,151,5,710,8384,19744
Adoption Test - Account 47,ACCOUNTLEVEL,-26,24,50,156,11,116,14,55,5694,7769
Adoption Test - Account 48,ACCOUNTLEVEL,-26,85,42,98,36,158,13,105,3211,714
Adoption Test - Account 49,ACCOUNTLEVEL,-26,5,28,198,105,224,19,581,4096,14845
Adoption Test - Account 50,ACCOUNTLEVEL,-26,68,37,132,133,170,41,389,2,9629
Adoption Test - Account 51,ACCOUNTLEVEL,-26,25,28,65,16,213,34,171,7928,6538
Adoption Test - Account 52,ACCOUNTLEVEL,-26,80,31,113,48,150,45,42,7669,7780
Adoption Test - Account 53,ACCOUNTLEVEL,-26,57,44,187,139,105,40,390,5552,558
Adoption Test - Account 54,ACCOUNTLEVEL,-26,46,46,76,21,232,5,279,9737,17690
Adoption Test - Account 55,ACCOUNTLEVEL,-26,3,25,116,131,237,54,906,8818,11749
Adoption Test - Account 56,ACCOUNTLEVEL,-26,1,45,132,51,184,5,328,6081,13604
Adoption Test - Account 57,ACCOUNTLEVEL,-26,67,13,138,39,133,58,304,7200,3388
Adoption Test - Account 58,ACCOUNTLEVEL,-26,4,19,88,69,239,50,801,1518,12295
Adoption Test - Account 59,ACCOUNTLEVEL,-26,6,16,131,9,133,4,324,3474,9798
Adoption Test - Account 60,ACCOUNTLEVEL,-26,35,16,99,15,239,18,320,9389,12323
Adoption Test - Account 61,ACCOUNTLEVEL,-26,31,45,101,121,192,20,474,1815,13539
Adoption Test - Account 62,ACCOUNTLEVEL,-26,99,10,149,92,226,26,992,4288,7566
Adoption Test - Account 63,ACCOUNTLEVEL,-26,83,43,190,118,226,53,593,7979,17734
Adoption Test - Account 64,ACCOUNTLEVEL,-26,86,50,170,72,115,42,276,3756,16618
Adoption Test - Account 65,ACCOUNTLEVEL,-26,39,18,55,105,111,35,513,7588,15089
Adoption Test - Account 66,ACCOUNTLEVEL,-26,11,49,110,99,118,8,766,7551,9293
Adoption Test - Account 67,ACCOUNTLEVEL,-26,13,17,75,17,216,8,921,6523,4693
Adoption Test - Account 68,ACCOUNTLEVEL,-26,86,49,195,70,233,42,624,6110,7762
Adoption Test - Account 69,ACCOUNTLEVEL,-26,71,15,149,36,208,26,888,3792,18362
Adoption Test - Account 70,ACCOUNTLEVEL,-26,39,29,183,58,167,59,102,3500,14852
Adoption Test - Account 71,ACCOUNTLEVEL,-26,33,12,74,136,147,55,750,6518,5388
Adoption Test - Account 72,ACCOUNTLEVEL,-26,94,31,151,85,110,55,161,3536,18116
Adoption Test - Account 73,ACCOUNTLEVEL,-26,72,18,146,54,114,17,268,9656,12747
Adoption Test - Account 74,ACCOUNTLEVEL,-26,23,30,171,82,227,46,404,9172,3006
Adoption Test - Account 75,ACCOUNTLEVEL,-26,41,29,114,117,153,36,354,1762,18655
Adoption Test - Account 76,ACCOUNTLEVEL,-26,36,43,156,30,229,25,541,2350,9118
Adoption Test - Account 77,ACCOUNTLEVEL,-26,64,48,159,38,117,11,909,6643,15757
Adoption Test - Account 78,ACCOUNTLEVEL,-26,4,15,147,124,102,59,216,9488,18384
Adoption Test - Account 79,ACCOUNTLEVEL,-26,50,23,80,107,168,14,205,7564,6723
Adoption Test - Account 80,ACCOUNTLEVEL,-26,14,18,124,17,105,19,801,4811,6650
Adoption Test - Account 81,ACCOUNTLEVEL,-26,19,22,196,28,162,43,992,2867,11786
Adoption Test - Account 82,ACCOUNTLEVEL,-26,19,43,95,141,179,52,857,1565,17879
Adoption Test - Account 83,ACCOUNTLEVEL,-26,2,12,136,41,183,34,997,4047,3310
Adoption Test - Account 84,ACCOUNTLEVEL,-26,84,43,168,108,159,27,562,981,17312
Adoption Test - Account 85,ACCOUNTLEVEL,-26,24,40,64,115,214,15,121,6443,12366
Adoption Test - Account 86,ACCOUNTLEVEL,-26,30,26,152,83,107,23,118,9754,6434
Adoption Test - Account 87,ACCOUNTLEVEL,-26,12,12,197,8,101,14,275,1217,10077
Adoption Test - Account 88,ACCOUNTLEVEL,-26,62,34,102,81,166,55,442,4283,8378
Adoption Test - Account 89,ACCOUNTLEVEL,-26,58,42,105,21,215,53,431,7642,12086
Adoption Test - Account 90,ACCOUNTLEVEL,-26,31,40,84,33,212,48,1,2573,243
Adoption Test - Account 91,ACCOUNTLEVEL,-26,30,40,128,101,144,26,739,1194,6147
Adoption Test - Account 92,ACCOUNTLEVEL,-26,52,23,130,48,229,50,874,7593,1515
Adoption Test - Account 93,ACCOUNTLEVEL,-26,1,49,53,75,220,26,607,1793,2158
Adoption Test - Account 94,ACCOUNTLEVEL,-26,56,22,149,58,187,11,589,3224,15189
Adoption Test - Account 95,ACCOUNTLEVEL,-26,52,12,67,8,246,33,823,6987,8078
Adoption Test - Account 96,ACCOUNTLEVEL,-26,36,27,106,128,232,7,888,5861,15674
Adoption Test - Account 97,ACCOUNTLEVEL,-26,4,39,137,81,189,43,732,1384,6797
Adoption Test - Account 98,ACCOUNTLEVEL,-26,83,40,85,44,224,15,367,3869,951
Adoption Test - Account 99,ACCOUNTLEVEL,-26,56,14,170,15,235,51,458,2584,4567
Adoption Test - Account 100,ACCOUNTLEVEL,-26,39,26,155,104,121,55,673,303,7774
Adoption Test - Account 101,ACCOUNTLEVEL,-26,95,22,88,55,132,46,712,5701,17362
