JBCXM__Account__r.Data_ExternalId__c,Name,JBCXM__Date__c,JBCXM__InstanceId__c,JBCXM__InstanceName__c,Page_Visits__c,Files_Downloaded__c,No_of_Report_Run__c,Page_Views__c,Emails_Sent_Count__c,No_of_Campaigns__c,Active_Users__c,DB_Size__c,Leads__c
Adoption Test - Account 1,INSTANCELEVEL,-13,Production USA Instance,Adoption Test - Account 1 - Production USA Instance,30,20,182,135,155,39,146,1186,15446
Adoption Test - Account 2,INSTANCELEVEL,-13,Production USA Instance,Adoption Test - Account 2 - Production USA Instance,65,30,73,21,144,59,803,749,11648
Adoption Test - Account 3,INSTANCELEVEL,-13,Production USA Instance,Adoption Test - Account 3 - Production USA Instance,90,34,125,45,102,50,578,2278,10855
Adoption Test - Account 4,INSTANCELEVEL,-13,Production USA Instance,Adoption Test - Account 4 - Production USA Instance,60,38,156,31,109,52,640,1544,4319
Adoption Test - Account 5,INSTANCELEVEL,-13,Production USA Instance,Adoption Test - Account 5 - Production USA Instance,33,39,85,65,149,32,50,8142,9190
Adoption Test - Account 6,INSTANCELEVEL,-13,Production USA Instance,Adoption Test - Account 6 - Production USA Instance,52,34,195,32,143,60,205,3105,2400
Adoption Test - Account 7,INSTANCELEVEL,-13,Production USA Instance,Adoption Test - Account 7 - Production USA Instance,18,18,104,18,117,36,699,8238,5959
Adoption Test - Account 8,INSTANCELEVEL,-13,Production USA Instance,Adoption Test - Account 8 - Production USA Instance,15,34,82,34,162,51,783,5551,3029
Adoption Test - Account 9,INSTANCELEVEL,-13,Production USA Instance,Adoption Test - Account 9 - Production USA Instance,37,33,161,72,250,20,481,8376,972
Adoption Test - Account 10,INSTANCELEVEL,-13,Production USA Instance,Adoption Test - Account 10 - Production USA Instance,70,50,187,144,136,49,837,6176,1760
Adoption Test - Account 11,INSTANCELEVEL,-13,Production USA Instance,Adoption Test - Account 11 - Production USA Instance,3,11,112,41,163,54,258,974,18614
Adoption Test - Account 12,INSTANCELEVEL,-13,Production USA Instance,Adoption Test - Account 12 - Production USA Instance,71,24,183,100,126,49,169,6897,1516
Adoption Test - Account 13,INSTANCELEVEL,-13,Production USA Instance,Adoption Test - Account 13 - Production USA Instance,7,42,129,95,230,9,364,3935,14495
Adoption Test - Account 14,INSTANCELEVEL,-13,Production USA Instance,Adoption Test - Account 14 - Production USA Instance,41,24,199,141,189,60,29,2436,2812
