JBCXM__Account__r.Data_ExternalId__c,Name,JBCXM__Date__c,JBCXM__InstanceId__c,JBCXM__InstanceName__c,Page_Visits__c,Files_Downloaded__c,No_of_Report_Run__c,Page_Views__c,Emails_Sent_Count__c,No_of_Campaigns__c,Active_Users__c,DB_Size__c,Leads__c
Adoption Test - Account 1,INSTANCELEVEL,-27,Production USA Instance,Adoption Test - Account 1 - Production USA Instance,30,20,182,135,155,39,146,1186,15446
Adoption Test - Account 1,INSTANCELEVEL,-26,Production USA Instance,Adoption Test - Account 1 - Production USA Instance,3,38,93,22,208,7,344,3914,8871
Adoption Test - Account 1,INSTANCELEVEL,-25,Production USA Instance,Adoption Test - Account 1 - Production USA Instance,74,28,88,144,234,58,717,6514,2519
Adoption Test - Account 1,INSTANCELEVEL,-24,Production USA Instance,Adoption Test - Account 1 - Production USA Instance,40,16,71,114,243,46,107,8300,18989
Adoption Test - Account 1,INSTANCELEVEL,-23,Production USA Instance,Adoption Test - Account 1 - Production USA Instance,82,29,104,120,185,27,510,5445,8424
Adoption Test - Account 1,INSTANCELEVEL,-22,Production USA Instance,Adoption Test - Account 1 - Production USA Instance,58,35,195,124,180,58,176,6330,8655
Adoption Test - Account 1,INSTANCELEVEL,-21,Production USA Instance,Adoption Test - Account 1 - Production USA Instance,3,26,154,3,186,39,569,8589,6144
Adoption Test - Account 1,INSTANCELEVEL,-20,Production USA Instance,Adoption Test - Account 1 - Production USA Instance,52,29,94,116,203,46,488,6071,5851
Adoption Test - Account 1,INSTANCELEVEL,-19,Production USA Instance,Adoption Test - Account 1 - Production USA Instance,84,21,60,108,230,17,275,2487,19605
Adoption Test - Account 1,INSTANCELEVEL,-18,Production USA Instance,Adoption Test - Account 1 - Production USA Instance,15,27,136,16,123,1,194,7900,14940
Adoption Test - Account 1,INSTANCELEVEL,-17,Production USA Instance,Adoption Test - Account 1 - Production USA Instance,82,35,56,34,148,29,815,4427,3618
Adoption Test - Account 1,INSTANCELEVEL,-16,Production USA Instance,Adoption Test - Account 1 - Production USA Instance,72,12,156,133,111,33,995,2161,17028
Adoption Test - Account 1,INSTANCELEVEL,-15,Production USA Instance,Adoption Test - Account 1 - Production USA Instance,89,16,51,66,212,16,968,6878,7825
Adoption Test - Account 1,INSTANCELEVEL,-14,Production USA Instance,Adoption Test - Account 1 - Production USA Instance,71,23,113,13,186,51,282,1068,14582
Adoption Test - Account 1,INSTANCELEVEL,-27,Production INDIA Instance,Adoption Test - Account 1 - Production INDIA Instance,11,16,176,59,227,44,183,1780,18683
Adoption Test - Account 1,INSTANCELEVEL,-26,Production INDIA Instance,Adoption Test - Account 1 - Production INDIA Instance,38,21,83,79,135,12,311,9329,12534
Adoption Test - Account 1,INSTANCELEVEL,-25,Production INDIA Instance,Adoption Test - Account 1 - Production INDIA Instance,73,16,68,2,196,14,446,5413,18809
Adoption Test - Account 1,INSTANCELEVEL,-24,Production INDIA Instance,Adoption Test - Account 1 - Production INDIA Instance,48,48,195,22,220,58,384,1532,11182
Adoption Test - Account 1,INSTANCELEVEL,-23,Production INDIA Instance,Adoption Test - Account 1 - Production INDIA Instance,71,18,169,9,125,34,6,5975,9070
Adoption Test - Account 1,INSTANCELEVEL,-22,Production INDIA Instance,Adoption Test - Account 1 - Production INDIA Instance,59,39,156,37,172,6,632,5284,3135
Adoption Test - Account 1,INSTANCELEVEL,-21,Production INDIA Instance,Adoption Test - Account 1 - Production INDIA Instance,100,29,142,141,155,27,667,8206,16118
Adoption Test - Account 1,INSTANCELEVEL,-20,Production INDIA Instance,Adoption Test - Account 1 - Production INDIA Instance,38,15,101,59,211,29,746,3533,5650
Adoption Test - Account 1,INSTANCELEVEL,-19,Production INDIA Instance,Adoption Test - Account 1 - Production INDIA Instance,40,32,193,133,164,25,832,250,1759
Adoption Test - Account 1,INSTANCELEVEL,-18,Production INDIA Instance,Adoption Test - Account 1 - Production INDIA Instance,96,29,175,70,186,30,971,4930,914
Adoption Test - Account 1,INSTANCELEVEL,-17,Production INDIA Instance,Adoption Test - Account 1 - Production INDIA Instance,73,29,151,65,223,56,80,5195,5700
Adoption Test - Account 1,INSTANCELEVEL,-16,Production INDIA Instance,Adoption Test - Account 1 - Production INDIA Instance,95,50,156,57,212,14,763,7082,14580
Adoption Test - Account 1,INSTANCELEVEL,-15,Production INDIA Instance,Adoption Test - Account 1 - Production INDIA Instance,84,37,121,54,114,37,884,4189,9041
Adoption Test - Account 1,INSTANCELEVEL,-14,Production INDIA Instance,Adoption Test - Account 1 - Production INDIA Instance,6,50,154,89,127,41,520,9456,19315
Adoption Test - Account 1,INSTANCELEVEL,-27,Sandbox USA Instance,Adoption Test - Account 1 - Sandbox USA Instance,61,49,123,145,200,27,812,3244,2887
Adoption Test - Account 1,INSTANCELEVEL,-26,Sandbox USA Instance,Adoption Test - Account 1 - Sandbox USA Instance,68,13,148,67,201,45,609,7953,8380
Adoption Test - Account 1,INSTANCELEVEL,-25,Sandbox USA Instance,Adoption Test - Account 1 - Sandbox USA Instance,71,17,158,35,206,44,179,9846,10241
Adoption Test - Account 1,INSTANCELEVEL,-24,Sandbox USA Instance,Adoption Test - Account 1 - Sandbox USA Instance,71,47,136,8,122,35,233,2296,6646
Adoption Test - Account 1,INSTANCELEVEL,-23,Sandbox USA Instance,Adoption Test - Account 1 - Sandbox USA Instance,47,31,120,114,171,20,676,9823,17532
Adoption Test - Account 1,INSTANCELEVEL,-22,Sandbox USA Instance,Adoption Test - Account 1 - Sandbox USA Instance,78,25,95,109,212,18,570,935,19975
Adoption Test - Account 1,INSTANCELEVEL,-21,Sandbox USA Instance,Adoption Test - Account 1 - Sandbox USA Instance,51,10,193,80,205,5,812,5386,18846
Adoption Test - Account 1,INSTANCELEVEL,-20,Sandbox USA Instance,Adoption Test - Account 1 - Sandbox USA Instance,91,42,129,28,197,16,211,7240,6058
Adoption Test - Account 1,INSTANCELEVEL,-19,Sandbox USA Instance,Adoption Test - Account 1 - Sandbox USA Instance,94,34,140,19,143,48,834,6252,13664
Adoption Test - Account 1,INSTANCELEVEL,-18,Sandbox USA Instance,Adoption Test - Account 1 - Sandbox USA Instance,26,30,102,17,227,53,688,2215,446
Adoption Test - Account 1,INSTANCELEVEL,-17,Sandbox USA Instance,Adoption Test - Account 1 - Sandbox USA Instance,17,16,76,60,193,25,686,2613,14063
Adoption Test - Account 1,INSTANCELEVEL,-16,Sandbox USA Instance,Adoption Test - Account 1 - Sandbox USA Instance,47,23,150,126,105,21,80,7295,4259
Adoption Test - Account 1,INSTANCELEVEL,-15,Sandbox USA Instance,Adoption Test - Account 1 - Sandbox USA Instance,59,40,170,98,227,24,192,7583,108
Adoption Test - Account 1,INSTANCELEVEL,-14,Sandbox USA Instance,Adoption Test - Account 1 - Sandbox USA Instance,84,33,184,71,124,56,889,9981,19542
Adoption Test - Account 1,INSTANCELEVEL,-27,Sandbox INDIA Instance,Adoption Test - Account 1 - Sandbox INDIA Instance,75,23,97,73,212,51,457,5019,6088
Adoption Test - Account 1,INSTANCELEVEL,-26,Sandbox INDIA Instance,Adoption Test - Account 1 - Sandbox INDIA Instance,51,48,185,18,110,36,934,7653,15283
Adoption Test - Account 1,INSTANCELEVEL,-25,Sandbox INDIA Instance,Adoption Test - Account 1 - Sandbox INDIA Instance,1,35,158,135,100,21,210,4501,16878
Adoption Test - Account 1,INSTANCELEVEL,-24,Sandbox INDIA Instance,Adoption Test - Account 1 - Sandbox INDIA Instance,50,47,122,1,244,36,607,8181,15477
Adoption Test - Account 1,INSTANCELEVEL,-23,Sandbox INDIA Instance,Adoption Test - Account 1 - Sandbox INDIA Instance,90,16,86,21,213,31,817,1794,17204
Adoption Test - Account 1,INSTANCELEVEL,-22,Sandbox INDIA Instance,Adoption Test - Account 1 - Sandbox INDIA Instance,75,49,176,47,181,27,406,6617,15639
Adoption Test - Account 1,INSTANCELEVEL,-21,Sandbox INDIA Instance,Adoption Test - Account 1 - Sandbox INDIA Instance,84,20,159,39,196,7,427,6497,13079
Adoption Test - Account 1,INSTANCELEVEL,-20,Sandbox INDIA Instance,Adoption Test - Account 1 - Sandbox INDIA Instance,90,12,77,37,113,60,574,8197,12006
Adoption Test - Account 1,INSTANCELEVEL,-19,Sandbox INDIA Instance,Adoption Test - Account 1 - Sandbox INDIA Instance,72,50,102,110,108,18,639,4839,13553
Adoption Test - Account 1,INSTANCELEVEL,-18,Sandbox INDIA Instance,Adoption Test - Account 1 - Sandbox INDIA Instance,18,29,61,140,107,11,741,1907,3204
Adoption Test - Account 1,INSTANCELEVEL,-17,Sandbox INDIA Instance,Adoption Test - Account 1 - Sandbox INDIA Instance,31,17,184,51,214,22,668,4033,1248
Adoption Test - Account 1,INSTANCELEVEL,-16,Sandbox INDIA Instance,Adoption Test - Account 1 - Sandbox INDIA Instance,13,36,86,127,206,45,694,4512,13469
Adoption Test - Account 1,INSTANCELEVEL,-15,Sandbox INDIA Instance,Adoption Test - Account 1 - Sandbox INDIA Instance,91,26,113,33,116,6,27,5518,950
Adoption Test - Account 1,INSTANCELEVEL,-14,Sandbox INDIA Instance,Adoption Test - Account 1 - Sandbox INDIA Instance,73,10,148,75,116,9,964,796,15093
Adoption Test - Account 1,INSTANCELEVEL,-13,Production USA Instance,Adoption Test - Account 1 - Production USA Instance,30,20,182,135,155,39,146,1186,15446
Adoption Test - Account 1,INSTANCELEVEL,-12,Production USA Instance,Adoption Test - Account 1 - Production USA Instance,3,38,93,22,208,7,344,3914,8871
Adoption Test - Account 1,INSTANCELEVEL,-11,Production USA Instance,Adoption Test - Account 1 - Production USA Instance,74,28,88,144,234,58,717,6514,2519
Adoption Test - Account 1,INSTANCELEVEL,-10,Production USA Instance,Adoption Test - Account 1 - Production USA Instance,40,16,71,114,243,46,107,8300,18989
