JBCXM__Account__r.Data_ExternalId__c,Name,JBCXM__Date__c,JBCXM__User__c,Page_Visits__c,Page_Views__c,No_of_Report_Run__c,Files_Downloaded__c,Emails_Sent_Count__c,No_of_Campaigns__c,Active_Users__c,DB_Size__c,Leads__c
Adoption Test - Account 1,USERLEVEL,-13,User 1,81,28,199,102,191,27,508,506,14193
Adoption Test - Account 2,USERLEVEL,-13,User 1,24,15,159,54,225,41,126,9007,10581
Adoption Test - Account 3,USERLEVEL,-13,User 1,27,48,197,68,118,18,174,6817,7814
Adoption Test - Account 4,USERLEVEL,-13,User 1,8,28,67,96,146,13,153,5454,1109
Adoption Test - Account 5,USERLEVEL,-13,User 1,9,25,111,127,178,14,467,1144,14718
Adoption Test - Account 6,USERLEVEL,-13,User 1,90,15,100,12,230,8,587,3919,1985
Adoption Test - Account 7,USERLEVEL,-13,User 1,97,50,154,66,219,3,249,2941,9909
Adoption Test - Account 8,USERLEVEL,-13,User 1,11,48,75,111,124,35,289,4663,9717
Adoption Test - Account 9,USERLEVEL,-13,User 1,31,39,184,14,144,56,742,4805,14630
Adoption Test - Account 10,USERLEVEL,-13,User 1,20,27,196,119,172,8,23,9819,4108
Adoption Test - Account 11,USERLEVEL,-13,User 1,42,14,183,144,197,4,77,6254,16378
Adoption Test - Account 12,USERLEVEL,-13,User 1,40,43,185,144,147,15,663,1582,10429
Adoption Test - Account 13,USERLEVEL,-13,User 1,18,43,134,26,164,27,749,946,15906
Adoption Test - Account 14,USERLEVEL,-13,User 1,41,27,69,59,103,34,877,4813,12446
Adoption Test - Account 15,USERLEVEL,-13,User 1,33,37,170,74,206,39,586,2590,4635
Adoption Test - Account 16,USERLEVEL,-13,User 1,70,14,193,150,245,38,360,8161,13969
Adoption Test - Account 17,USERLEVEL,-13,User 1,39,21,122,0,163,11,141,3566,16515
Adoption Test - Account 18,USERLEVEL,-13,User 1,94,30,171,75,197,16,419,6298,972
Adoption Test - Account 19,USERLEVEL,-13,User 1,61,32,193,90,105,29,802,8160,7674
Adoption Test - Account 20,USERLEVEL,-13,User 1,64,10,195,99,204,36,875,211,3015
Adoption Test - Account 21,USERLEVEL,-13,User 1,67,41,151,27,166,32,30,3400,15732
Adoption Test - Account 22,USERLEVEL,-13,User 1,68,25,147,33,187,60,712,4550,12200
Adoption Test - Account 23,USERLEVEL,-13,User 1,88,23,78,62,114,22,180,1276,11769
Adoption Test - Account 24,USERLEVEL,-13,User 1,50,45,173,141,134,2,418,6024,3052
Adoption Test - Account 25,USERLEVEL,-13,User 1,26,46,79,41,210,53,15,7082,937
Adoption Test - Account 26,USERLEVEL,-13,User 1,12,50,67,145,185,39,421,3414,6975
Adoption Test - Account 27,USERLEVEL,-13,User 1,45,15,190,39,165,20,67,2574,10822
Adoption Test - Account 28,USERLEVEL,-13,User 1,60,39,167,123,141,19,132,1063,12833
Adoption Test - Account 29,USERLEVEL,-13,User 1,54,38,54,96,166,57,39,363,11380
Adoption Test - Account 30,USERLEVEL,-13,User 1,48,23,155,133,107,28,310,3698,17154
Adoption Test - Account 31,USERLEVEL,-13,User 1,57,41,51,60,137,48,812,8038,2381
Adoption Test - Account 32,USERLEVEL,-13,User 1,50,29,188,0,163,45,452,2181,5143
Adoption Test - Account 33,USERLEVEL,-13,User 1,43,45,127,78,147,54,207,7932,7651
Adoption Test - Account 34,USERLEVEL,-13,User 1,48,13,173,73,233,29,845,5134,5297
