JBCXM__Account__r.Data_ExternalId__c,Name,JBCXM__Date__c,JBCXM__User__c,Page_Visits__c,Page_Views__c,No_of_Report_Run__c,Files_Downloaded__c,Emails_Sent_Count__c,No_of_Campaigns__c,Active_Users__c,DB_Size__c,Leads__c
Adoption Test - Account 1,USERLEVEL,-27,User 1,30,39,153,87,165,51,953,1883,2112
Adoption Test - Account 1,USERLEVEL,-26,User 1,96,23,171,63,152,57,878,4392,8403
Adoption Test - Account 1,USERLEVEL,-25,User 1,23,38,50,54,127,2,216,8392,18400
Adoption Test - Account 1,USERLEVEL,-24,User 1,62,41,130,30,176,26,665,4003,7660
Adoption Test - Account 1,USERLEVEL,-23,User 1,97,27,57,10,137,15,960,9021,11636
Adoption Test - Account 1,USERLEVEL,-22,User 1,60,38,197,81,245,23,164,2500,8508
Adoption Test - Account 1,USERLEVEL,-21,User 1,54,33,132,121,109,58,789,1801,6687
Adoption Test - Account 1,USERLEVEL,-20,User 1,96,43,69,124,166,34,435,3580,9699
Adoption Test - Account 1,USERLEVEL,-19,User 1,16,13,50,13,140,39,27,6616,12450
Adoption Test - Account 1,USERLEVEL,-18,User 1,58,29,171,75,241,28,622,9476,14412
Adoption Test - Account 1,USERLEVEL,-17,User 1,63,41,95,101,222,11,122,1135,3569
Adoption Test - Account 1,USERLEVEL,-16,User 1,44,13,103,140,237,11,796,7830,3449
Adoption Test - Account 1,USERLEVEL,-15,User 1,73,27,50,139,220,59,508,8040,16846
Adoption Test - Account 1,USERLEVEL,-14,User 1,10,46,129,29,232,32,95,7230,8524
Adoption Test - Account 1,USERLEVEL,-13,User 1,51,48,126,148,207,58,160,7742,3421
Adoption Test - Account 1,USERLEVEL,-12,User 1,32,23,94,77,194,40,264,6830,16438
Adoption Test - Account 1,USERLEVEL,-11,User 1,79,34,195,12,172,47,269,5685,5549
Adoption Test - Account 1,USERLEVEL,-10,User 1,71,37,76,14,188,47,955,7867,13091
Adoption Test - Account 1,USERLEVEL,-9,User 1,65,16,161,98,211,52,726,1098,1161
Adoption Test - Account 1,USERLEVEL,-8,User 1,83,18,128,54,247,26,849,3316,18581
Adoption Test - Account 1,USERLEVEL,-7,User 1,65,19,179,57,247,10,147,7266,895
Adoption Test - Account 1,USERLEVEL,-6,User 1,13,29,189,98,225,8,910,7713,7356
Adoption Test - Account 1,USERLEVEL,-5,User 1,95,17,87,59,136,35,529,7524,6508
Adoption Test - Account 1,USERLEVEL,-4,User 1,89,49,195,50,135,26,632,6905,8347
Adoption Test - Account 1,USERLEVEL,-3,User 1,14,41,142,89,134,5,763,2386,12163
Adoption Test - Account 1,USERLEVEL,-2,User 1,50,31,150,141,161,52,670,9263,2781
Adoption Test - Account 1,USERLEVEL,-1,User 1,63,50,91,123,114,40,267,1682,11820
Adoption Test - Account 1,USERLEVEL,0,User 1,2,43,142,109,187,17,614,1808,2031
Adoption Test - Account 1,USERLEVEL,-27,User 2,15,44,165,3,166,7,14,1637,10120
